pathway,pcc,r2,mae,mae_raw,r2_raw
Oxidative_Phosphorylation,0.7171357,0.30444306,0.4068736,961.07275390625,0.3044430613517761
mTOR_Signaling,0.64343727,0.2179293,0.4529655,817.9136352539062,0.21792930364608765
MYC_Targets,0.62713647,-0.37960613,0.569409,1732.07373046875,-0.37960612773895264
G2M_Checkpoint,0.6260292,-1.0235438,1.0609215,2604.119384765625,-1.0235438346862793
tls,0.61160064,0.16683763,0.71855044,1453.4112548828125,0.1668376326560974
Fibrosis,0.5965252,-0.23585057,0.6283512,1845.58251953125,-0.23585057258605957
Glycolysis,0.5822023,-0.7830012,0.7465925,1214.0242919921875,-0.783001184463501
ECM_Organization,0.5753663,-0.18608856,0.5823312,1915.9923095703125,-0.18608856201171875
E2F_Targets,0.57378435,-0.7190294,0.7784648,1753.3900146484375,-0.719029426574707
Mitotic_Spindle,0.5676881,-1.1832113,1.0865449,2286.380615234375,-1.183211326599121
Wound_Healing,0.53818035,-0.35046852,0.5538531,1229.9554443359375,-0.3504685163497925
emt,0.51361614,-0.038306832,0.52613634,1076.3446044921875,-0.0383068323135376
IL6_JAK_STAT3,0.5118428,-0.11844087,0.5317851,1034.6796875,-0.11844086647033691
Angiogenesis,0.49487877,-0.1777916,0.82381356,1721.2989501953125,-0.17779159545898438
DNA_Damage_Response,0.49314913,-0.8228955,0.8885477,1436.84716796875,-0.8228955268859863
P53_Pathway,0.4854109,-0.35322,0.71096593,1254.9876708984375,-0.35321998596191406
Complement,0.42980608,-1.161355,0.9561918,1870.4056396484375,-1.1613550186157227
Unfolded_Protein_Response,0.4281439,-0.20969725,0.62771666,1198.1573486328125,-0.20969724655151367
tgfb,0.41910848,-0.23749161,0.609733,1049.237548828125,-0.23749160766601562
Reactive_Oxygen_Species,0.41526002,-0.4925053,0.78528214,863.8734130859375,-0.4925053119659424
mhc,0.40426585,0.07885808,0.25716585,449.8567810058594,0.07885807752609253
Coagulation,0.38711873,-0.046128392,0.57664263,609.8822021484375,-0.04612839221954346
Apoptosis,0.35715404,0.04137814,0.48037845,785.231689453125,0.041378140449523926
Inflammatory_Response,0.32790476,-0.069642305,0.7271475,1659.8272705078125,-0.06964230537414551
TNF_Signaling,0.31825238,0.05524087,0.46348807,1098.13525390625,0.05524086952209473
Interferon_Alpha,0.31366807,-0.24559522,0.54367733,1060.8043212890625,-0.24559521675109863
hypoxia,0.2996881,0.043494284,0.49681118,1116.31298828125,0.04349428415298462
toxic,0.22779347,-0.054278016,0.7770994,1921.38916015625,-0.054278016090393066
ifng,0.07777224,-0.015556335,0.5190961,1629.53076171875,-0.01555633544921875
icp,0.02784469,-0.052300215,0.8020333,1568.137451171875,-0.052300214767456055
