label,mean,std,count
tls,-1783.59026832937,1234.8497319748462,19640
tgfb,3334.8464633894987,1499.1259619970535,19640
emt,2146.788128513147,2201.8114923745957,19640
hypoxia,2017.4240144629043,2464.756772703973,19640
mhc,7360.1066309111975,2592.709411974805,19640
icp,-3624.652964701046,1113.0883992826048,19640
ifng,-1603.6643701634714,2470.982464974442,19640
toxic,-1838.9131689103563,1371.8099499869268,19640
Glycolysis,1949.0008102002946,1584.9247780125484,19640
Inflammatory_Response,-519.2083384292739,1498.5128513214852,19640
IL6_JAK_STAT3,1633.3976222456415,1823.2674455924337,19640
P53_Pathway,173.12486987613352,1470.7727425985256,19640
DNA_Damage_Response,910.465652710143,1123.8829149940052,19640
Complement,-2230.7156164074645,1355.5757431070695,19640
Coagulation,-394.45029714164684,882.4164230742165,19640
Oxidative_Phosphorylation,1599.4260113470525,2134.464047116319,19640
Reactive_Oxygen_Species,2338.3476656322728,1043.0556560255006,19640
Wound_Healing,1943.1636546304908,1773.5168042668001,19640
Fibrosis,1965.1227129246672,2435.5520292111546,19640
MYC_Targets,490.4641270033564,2894.4920240069487,19640
E2F_Targets,898.435604775587,1580.9583870491138,19640
G2M_Checkpoint,-2.3988372633981476,1650.4634126605524,19640
Mitotic_Spindle,69.38511932779352,1429.449195415075,19640
Unfolded_Protein_Response,1506.3133547354034,1667.7306180881594,19640
mTOR_Signaling,1242.680453602822,1536.232796373177,19640
Interferon_Alpha,3310.815965294501,1618.7056683205722,19640
Angiogenesis,1022.5381307286142,1376.9961325343013,19640
Apoptosis,500.5512201571895,1296.5854432839344,19640
TNF_Signaling,-882.5885072175034,1846.096160349104,19640
ECM_Organization,2562.3757156954443,2891.693062789117,19640
