epoch,train_loss,train_pcc,is_best,val_loss,val_pcc,val_mae,val_r2
1,0.544195,0.675995,False,0.389032,0.796507,0.472098,0.625453
2,0.437927,0.749739,False,0.380162,0.800882,0.4649,0.634331
3,0.412685,0.76639,False,0.381122,0.799958,0.464476,0.633143
4,0.395944,0.777269,False,0.37553,0.801653,0.459207,0.638484
5,0.382265,0.785996,False,0.374649,0.802801,0.461138,0.639351
6,0.371049,0.793133,False,0.373195,0.801492,0.453279,0.640989
7,0.362206,0.798682,True,0.364096,0.806922,0.449757,0.649264
8,0.352686,0.804617,False,0.369718,0.804376,0.456336,0.643845
9,0.344907,0.809474,False,0.372296,0.803029,0.458693,0.64145
10,0.336548,0.814621,False,0.375188,0.800488,0.457931,0.638876
11,0.32953,0.818924,False,0.365968,0.805651,0.450659,0.64733
12,0.322334,0.823308,False,0.378509,0.798423,0.459462,0.635546
13,0.315495,0.827452,False,0.376803,0.799365,0.45983,0.636954
14,0.308534,0.831687,False,0.366682,0.805278,0.45177,0.646633
15,0.302478,0.835282,False,0.377181,0.799296,0.460132,0.636758
16,0.295375,0.839572,False,0.37535,0.799998,0.460101,0.63825
17,0.289179,0.843234,False,0.377369,0.798814,0.458752,0.636242
