pathway,pcc,mae_raw,r2_raw
Oxidative_Phosphorylation,0.79719704,1014.3392944335938,0.2667195200920105
MYC_Targets,0.75942534,923.9148559570312,0.4126410484313965
tls,0.69599545,1153.4957275390625,0.3058907985687256
mTOR_Signaling,0.68604934,777.2883911132812,0.24348771572113037
Fibrosis,0.64108086,1422.8443603515625,0.2355678677558899
G2M_Checkpoint,0.6409944,1252.703369140625,0.3871445655822754
E2F_Targets,0.63843364,930.0496826171875,0.33955061435699463
Unfolded_Protein_Response,0.6274472,825.4807739257812,0.2760770320892334
ECM_Organization,0.6249142,1379.25244140625,0.33571940660476685
Angiogenesis,0.60198253,1329.94580078125,0.21626627445220947
Mitotic_Spindle,0.59129584,1085.16845703125,0.34753668308258057
IL6_JAK_STAT3,0.57812893,753.9042358398438,0.29743438959121704
emt,0.56499887,872.9122924804688,0.23680037260055542
P53_Pathway,0.5607604,819.5668334960938,0.27111923694610596
Glycolysis,0.5557695,743.0518798828125,0.1597435474395752
Wound_Healing,0.51866645,957.9271850585938,0.08981835842132568
mhc,0.50935376,416.1058044433594,0.19878023862838745
DNA_Damage_Response,0.50723696,810.4479370117188,0.24992305040359497
Apoptosis,0.43392628,744.9468994140625,0.10852831602096558
Coagulation,0.39695123,843.239990234375,-0.7953377962112427
tgfb,0.3745235,773.98193359375,0.13146042823791504
Reactive_Oxygen_Species,0.3717417,655.8577880859375,0.0017592906951904297
Inflammatory_Response,0.36250722,1419.527587890625,0.09104359149932861
hypoxia,0.33127466,1125.8616943359375,0.03708326816558838
Complement,0.32195073,2127.577880859375,-1.853600263595581
toxic,0.29422292,1816.0721435546875,-0.2441326379776001
TNF_Signaling,0.29304722,1105.852783203125,0.041492760181427
icp,0.26956907,1648.6839599609375,-0.20150554180145264
ifng,0.1028416,2103.208740234375,-0.7517675161361694
Interferon_Alpha,0.09749464,1921.508544921875,-2.8717825412750244
