pathway,pcc,mae_raw,r2_raw
tls,0.6576575566615017,1180.485940079611,0.3938542769943302
tgfb,0.42110248507527626,875.754090939093,0.03905309908113708
emt,0.5666454244197845,881.5551848948335,0.15392167173385607
hypoxia,0.3366573707357023,1186.249112158766,-0.025235990495414473
mhc,0.4493076410937318,414.59807424950935,0.1738309580289331
icp,0.3045047399424419,1731.6369291797969,-0.31988056402249776
ifng,0.12038308918055353,1887.5886557434153,-0.4373743695754171
toxic,0.36098531496592656,1613.5909466325916,0.09515929042075832
Glycolysis,0.5989996592417371,1074.3695459999287,-0.506588721044112
Inflammatory_Response,0.42661524262628675,1366.6497659687577,0.16883612761714983
IL6_JAK_STAT3,0.521084818400314,1306.838743790266,-0.5000294996328518
P53_Pathway,0.5300878923406427,1297.6290698564374,-0.4537650156168158
DNA_Damage_Response,0.483052356926899,1068.7429424887591,-0.16863913831713417
Complement,0.37694920391296843,1900.7883541031365,-1.356458065088129
Coagulation,0.4211588033603974,571.7839734110268,0.07939580314212746
Oxidative_Phosphorylation,0.7606986333953235,739.8745158966394,0.5784190501543833
Reactive_Oxygen_Species,0.19458710276895666,900.2027373382319,-0.6854557659215903
Wound_Healing,0.6129602734990415,835.5450251653185,0.2972202806661627
Fibrosis,0.6986040096218556,1109.1895280199494,0.4783171079724703
MYC_Targets,0.7467391584340587,1095.1482770667906,0.30526704451939124
E2F_Targets,0.5836423898551929,1275.012329509611,-0.08514616821878329
G2M_Checkpoint,0.6319939870658651,2040.4540446591684,-0.3458774911913711
Mitotic_Spindle,0.6045795229629279,1533.014938300894,-0.09888003315235516
Unfolded_Protein_Response,0.5739552527211976,1060.6798213522184,0.06265224568693917
mTOR_Signaling,0.6315593132826227,758.5632985453079,0.3503767831210156
Interferon_Alpha,0.1805349917381728,1942.3475174816433,-2.780192307517863
Angiogenesis,0.6096926861154414,1258.9894070086787,0.27167231773620837
Apoptosis,0.4148945343871824,790.4403740526474,0.04786504173719375
TNF_Signaling,0.32234115621397486,1374.2973378524282,-0.2976993260116023
ECM_Organization,0.7152201159312513,1132.7684832775828,0.4886489998000836
