label,mean,std,count
tls,-2904.306263932481,2022.6992575197971,2553
tgfb,4641.389163006044,1720.8145267406735,2553
emt,2437.143009182886,2045.7520524648232,2553
hypoxia,3350.4018628246376,2246.956410211866,2553
mhc,8401.369533686844,1749.286614379064,2553
icp,-3284.0650186259845,1955.2023127695124,2553
ifng,246.71042222331351,3139.170161819167,2553
toxic,-1995.9193159977,2472.5140820048705,2553
Glycolysis,3421.023395638732,1626.0869614864748,2553
Inflammatory_Response,663.0457826122289,2282.6554810866937,2553
IL6_JAK_STAT3,3786.870809990851,1945.673148220354,2553
P53_Pathway,2023.2400406824365,1765.1869019172948,2553
DNA_Damage_Response,1671.5980276386415,1617.0738124726415,2553
Complement,-1058.1029482872855,1956.0990015163325,2553
Coagulation,-908.1870384159035,1057.643158630826,2553
Oxidative_Phosphorylation,4032.925608337431,2362.0913075045482,2553
Reactive_Oxygen_Species,3269.4303581956656,1100.080329902958,2553
Wound_Healing,2764.433041882898,2220.7252686210686,2553
Fibrosis,3164.167834150644,2937.182762260102,2553
MYC_Targets,3617.398460236463,3041.879533269233,2553
E2F_Targets,2166.1718116868296,2252.3689330516236,2553
G2M_Checkpoint,1161.9482990558088,2454.5821682258584,2553
Mitotic_Spindle,911.337955687152,2104.2667248538673,2553
Unfolded_Protein_Response,3676.436423087921,1908.754882703568,2553
mTOR_Signaling,3016.5999091652693,1805.686169571081,2553
Interferon_Alpha,4188.228253396121,1951.1652794195932,2553
Angiogenesis,1733.0750510767439,2089.4276867939666,2553
Apoptosis,2041.8394995061378,1634.6106335437642,2553
TNF_Signaling,1477.2321439638692,2369.2849314539762,2553
ECM_Organization,4171.777668667822,3290.2105590200267,2553
