epoch,train_loss,train_mae,train_r2,train_pcc,val_loss,val_mae,val_r2,val_pcc,lr
1,0.3343170959831568,0.6719138026237488,0.1835974156856537,0.43701149021041696,0.33962052607130117,0.6612852215766907,0.12303761392831802,0.3773623463771996,5e-05
2,0.29826145422398437,0.6209763288497925,0.2775301933288574,0.5300270581847291,0.3421904388009415,0.6665685772895813,0.11570581793785095,0.3624383292827283,5e-05
3,0.2860457013057342,0.6039618253707886,0.30991020798683167,0.5592291473753283,0.3370686956240876,0.6600781083106995,0.13374359905719757,0.38350133900172817,5e-05
4,0.2776547620717511,0.5919503569602966,0.3317987620830536,0.5780200538537992,0.33965954514963875,0.6682108044624329,0.13557487726211548,0.3813574155484678,5e-05
5,0.27125521435485855,0.5829685926437378,0.3483997583389282,0.5920016875763408,0.34045817956187574,0.6664302349090576,0.12846747040748596,0.3797180193791742,5e-05
6,0.26604779537692264,0.5754075646400452,0.36139678955078125,0.602805712943266,0.34705209653117,0.6814612746238708,0.12498047947883606,0.37425247693079217,5e-05
7,0.2610247456759319,0.5684328079223633,0.3749353587627411,0.6137480288763597,0.34513422511205616,0.6750408411026001,0.11895370483398438,0.3712375993543684,5e-05
8,0.25685498279724495,0.5627356767654419,0.38599780201911926,0.6226126898450536,0.3445914013041775,0.6737867593765259,0.12408897280693054,0.3759621286863734,5e-05
9,0.25257741368545156,0.5564233660697937,0.3969806134700775,0.6312624908151797,0.3442356328894101,0.6764163970947266,0.1276278793811798,0.37357967309632445,5e-05
10,0.24468392320598578,0.5449742674827576,0.417287677526474,0.6471266882711995,0.34747525547024544,0.6797395944595337,0.11895261704921722,0.37155777552611513,2.5e-05
11,0.24198130038415558,0.5416006445884705,0.42416122555732727,0.6523806204271182,0.3538565510926322,0.6882171630859375,0.10430223494768143,0.3578591949408091,2.5e-05
12,0.2392789312669141,0.5376523733139038,0.43153586983680725,0.6580606292408672,0.3488163454831242,0.6824567914009094,0.11681537330150604,0.3645762762287245,2.5e-05
13,0.23753419139586765,0.5351534485816956,0.43622687458992004,0.6615833344297183,0.35183803085225346,0.6853846311569214,0.10668518394231796,0.36138907090318556,2.5e-05
14,0.23455842460893442,0.5307711362838745,0.4431876838207245,0.6667919741163186,0.35400147770385076,0.690028727054596,0.1062682569026947,0.3613972287912174,2.5e-05
15,0.2329143386891217,0.5284497141838074,0.44795703887939453,0.6703902826757066,0.35231989555474397,0.6869747638702393,0.1096440777182579,0.3638102937813576,2.5e-05
16,0.22832300657342366,0.5219305157661438,0.4594143033027649,0.6789148837296447,0.3517475446030888,0.6849252581596375,0.10589715838432312,0.358725653637517,1.25e-05
17,0.22698491253225045,0.5201583504676819,0.46258291602134705,0.6812613189182554,0.3515621419159531,0.6840718388557434,0.10491369664669037,0.35623573982446405,1.25e-05
18,0.22588602193093987,0.5185557007789612,0.46559709310531616,0.6835151508153368,0.35423522366913185,0.687480092048645,0.1018669530749321,0.36208104284832787,1.25e-05
19,0.2247595684545165,0.5168544054031372,0.46833568811416626,0.6854213542658883,0.3559701337599174,0.6902021169662476,0.09867805987596512,0.35878480126507495,1.25e-05
20,0.22323215711870015,0.5147058367729187,0.4726914167404175,0.6886787639504719,0.35608500381863484,0.6895198225975037,0.09833138436079025,0.36297425811194967,1.25e-05
21,0.2218679931161402,0.5129270553588867,0.47597742080688477,0.6910700842300965,0.35618709450426234,0.691085696220398,0.09909316897392273,0.3618336025934233,1.25e-05
22,0.2201589948965371,0.5104363560676575,0.480135440826416,0.6940982016283733,0.35780042517396243,0.6934859156608582,0.09526035934686661,0.35863745351764453,6.25e-06
23,0.21916050623179642,0.5090398192405701,0.4831867218017578,0.6962596978977837,0.3595261313016225,0.694199800491333,0.08830557763576508,0.3524296661525333,6.25e-06
