epoch,train_loss,train_mae,train_r2,train_pcc,val_loss,val_mae,val_r2,val_pcc,lr
1,0.3240486653257627,0.6299296617507935,0.06694438308477402,0.2950141949080184,0.2828997032321179,0.5557273626327515,0.1307946741580963,0.38938751932919846,0.0001
2,0.2956414916990437,0.577157735824585,0.13916173577308655,0.38946175343121076,0.2799088551899312,0.540024995803833,0.15257662534713745,0.44366861906429533,0.0001
3,0.28315560154992175,0.5552876591682434,0.17686879634857178,0.4324820572949275,0.2654952515746645,0.5094784498214722,0.18971364200115204,0.47077561956894154,0.0001
