epoch,train_loss,train_mae,train_r2,train_pcc,val_loss,val_mae,val_r2,val_pcc,lr
1,0.31087033057111446,0.6432104110717773,0.25712692737579346,0.5112682938896168,0.2883415102273568,0.6101438403129578,0.33125215768814087,0.5811009369173892,0.0001
2,0.26698203411278026,0.5820733308792114,0.37074699997901917,0.6108430011490873,0.2790804942677304,0.5961265563964844,0.3550518751144409,0.5955165969274356,0.0001
3,0.25260248582976497,0.5623410940170288,0.4075707793235779,0.6400670553486459,0.2773036046350901,0.5943964123725891,0.36016616225242615,0.604356314203727,0.0001
4,0.24153935644831073,0.5463311672210693,0.4353885352611542,0.6612732098226912,0.27317801978091777,0.5902087092399597,0.3729715645313263,0.6082749077123517,0.0001
5,0.23259073408210978,0.53363436460495,0.4579640030860901,0.6780988282223411,0.27394178909360223,0.589763879776001,0.3699316382408142,0.6080118408830825,0.0001
6,0.2245326653598134,0.5225529074668884,0.4783702492713928,0.692874082925394,0.2725325489409582,0.5885663628578186,0.3741617798805237,0.6114094380118028,0.0001
7,0.2155302778488351,0.5093948245048523,0.500196099281311,0.708655659727618,0.272592651052341,0.5863069891929626,0.37128058075904846,0.6119027984741292,0.0001
8,0.20774146178611874,0.49815911054611206,0.5197990536689758,0.722418241883985,0.27476625036005775,0.5894688963890076,0.36726823449134827,0.6121161713055701,0.0001
9,0.20007842993330735,0.48758018016815186,0.5391910076141357,0.7359218516082338,0.27408244395164694,0.5914500951766968,0.37140360474586487,0.6086041640366636,0.0001
10,0.1920408371405598,0.4758342206478119,0.5591364502906799,0.7494507339322731,0.27514068567280875,0.5888883471488953,0.3653704822063446,0.6103589002932996,0.0001
11,0.18400132482479348,0.46417179703712463,0.5786932706832886,0.7625657482411917,0.2770420350943184,0.593275249004364,0.3626052737236023,0.6072810912558897,0.0001
12,0.1761834185610081,0.45288604497909546,0.5981786251068115,0.7754779429576756,0.2764428955232808,0.5907361507415771,0.36147552728652954,0.6054011635684758,0.0001
13,0.16318616288760973,0.4329223334789276,0.6291093826293945,0.7955496948973371,0.27745782053942575,0.594411313533783,0.3622608780860901,0.6059866608800423,5e-05
14,0.1583293768507973,0.42588675022125244,0.6410970091819763,0.80323608005337,0.2782804553003299,0.5967003107070923,0.36184394359588623,0.605510169079496,5e-05
15,0.15416664654569875,0.4196702539920807,0.6512587070465088,0.8096433348318403,0.27814835648731556,0.5957947373390198,0.359780490398407,0.6025616932876896,5e-05
16,0.14969031019129708,0.412942498922348,0.6618610620498657,0.8161368148115024,0.27978452267470183,0.5990580916404724,0.3581361174583435,0.6016537640314533,5e-05
17,0.14552834514689564,0.40607163310050964,0.672019898891449,0.8224298569715591,0.28113827954306914,0.6004188060760498,0.35279667377471924,0.5998058175316537,5e-05
18,0.1421814532439646,0.40101420879364014,0.6802138686180115,0.8273689248318163,0.2810855378060201,0.6004930734634399,0.3537929654121399,0.5991859843816176,5e-05
19,0.13529627613781361,0.39096471667289734,0.6968204379081726,0.8375376269049136,0.2834613073526823,0.603117048740387,0.34758704900741577,0.5983574545182264,2.5e-05
20,0.13316081496817606,0.38769325613975525,0.7020072937011719,0.8406899091603289,0.281910076451941,0.6024045348167419,0.35226401686668396,0.597836200729534,2.5e-05
21,0.13057401334876123,0.38336989283561707,0.708002507686615,0.8441991031994104,0.2829600073216366,0.6034355759620667,0.3497523069381714,0.5970342505340089,2.5e-05
