pathway,pcc,mae_raw,r2_raw
tls,0.6709743774645803,1169.8202587543758,0.3982886343322145
tgfb,0.3885837143095196,923.3740238185254,-0.05752021729553758
emt,0.5813586120727295,868.4828924941588,0.17806781901426239
hypoxia,0.36066227706620185,1153.0048329976923,0.023552296842450304
mhc,0.4933842638242483,376.12093089550785,0.23580211905294635
icp,0.30700914113838695,1715.9618000795504,-0.29503466487043717
ifng,0.16506820274114667,1877.348494496196,-0.4223772949690434
toxic,0.3687087315944039,1604.6524449519632,0.10847580308397975
Glycolysis,0.6058228439214048,1131.9122328266578,-0.6280281690850293
Inflammatory_Response,0.4276699268926184,1382.612243649945,0.1638508453327686
IL6_JAK_STAT3,0.5504521564622799,1146.4594881791522,-0.21733363214186752
P53_Pathway,0.5333202289993594,1185.4572867768063,-0.24611805699364164
DNA_Damage_Response,0.4379149668998784,1179.6058383116776,-0.36998735559835727
Complement,0.3806493502041917,2062.572154466538,-1.7403944996534735
Coagulation,0.4303528799954322,562.4885560537383,0.11141505946327757
Oxidative_Phosphorylation,0.773678220312957,763.167184254881,0.5640046702323789
Reactive_Oxygen_Species,0.23871876041322895,870.1934279119625,-0.5821492708652469
Wound_Healing,0.6317045689785794,852.7659810838419,0.26627179068270823
Fibrosis,0.7165064090894621,1137.8309911203437,0.46135248827234066
MYC_Targets,0.7700777680018557,1136.4118676829185,0.28688070509996166
E2F_Targets,0.6021721306026405,1425.3106158723454,-0.27507791974824825
G2M_Checkpoint,0.650409676806329,2067.387215716245,-0.3810403842024075
Mitotic_Spindle,0.6070664748163385,1647.3332900469593,-0.24058187194489533
Unfolded_Protein_Response,0.5706210067016464,1076.5638142471357,0.04833710755867915
mTOR_Signaling,0.6481246860672006,746.2519202139446,0.3702746924949981
Interferon_Alpha,0.20930649195814027,1932.6497238811658,-2.736400599317113
Angiogenesis,0.641361449700046,1271.4910328651051,0.26848102067395074
Apoptosis,0.4255820066822665,778.0720236665335,0.07231316512430919
TNF_Signaling,0.2982804987096153,1312.4070735491625,-0.2335865463739295
ECM_Organization,0.7305804373719845,1100.806188267244,0.5208575691263166
