epoch,train_loss,train_mae,train_r2,train_pcc,val_loss,val_mae,val_r2,val_pcc,lr
1,0.35083269197562955,0.6700299382209778,0.11976028978824615,0.35487207408302474,0.3355170669640974,0.6618649959564209,0.12536126375198364,0.36642184386633647,3e-05
2,0.3185028325974782,0.6233888864517212,0.19915826618671417,0.45101582689110337,0.3305291939926686,0.6535033583641052,0.13852599263191223,0.38607706873260345,3e-05
3,0.3149195534170633,0.6159555315971375,0.22501762211322784,0.4792201188961604,0.32931008378215654,0.650510847568512,0.13845758140087128,0.3907269061277299,3e-05
4,0.3099998063617448,0.6081481575965881,0.24280805885791779,0.4979459055093163,0.332798192572908,0.6555945873260498,0.13105733692646027,0.37966172185390906,3e-05
5,0.3047022219861604,0.5998690128326416,0.25673332810401917,0.5116482480030312,0.3264514323906261,0.6433311104774475,0.14777788519859314,0.40662241081358763,3e-05
6,0.3070388615993357,0.6009007692337036,0.26683124899864197,0.5215655067002367,0.32719699568667654,0.6458654999732971,0.1483256220817566,0.3991574153998884,3e-05
7,0.2981763930244948,0.5898362398147583,0.2769447863101959,0.531130637834414,0.3248101928925559,0.6412155628204346,0.15465369820594788,0.4086780929571111,3e-05
8,0.2984052888753476,0.5888027548789978,0.2832445204257965,0.5371590933373324,0.326463715381317,0.6442821621894836,0.14783762395381927,0.4005256587211312,3e-05
9,0.29673406666175184,0.5859678387641907,0.2926275134086609,0.5459966727566556,0.3306381533936143,0.6501578092575073,0.13402263820171356,0.3915679456609131,3e-05
10,0.2959302941985289,0.5839237570762634,0.29914796352386475,0.5519350047653612,0.33366001976860893,0.6536942720413208,0.13257378339767456,0.39404837386300046,3e-05
11,0.2924940200412975,0.5791845321655273,0.3032452464103699,0.5554903606788145,0.3323287303501603,0.6503627896308899,0.13609541952610016,0.39038720413372446,3e-05
12,0.28721065147444447,0.5722099542617798,0.31359535455703735,0.5648675418230172,0.32437684580880144,0.6396036744117737,0.15475162863731384,0.40789591060978736,3e-05
13,0.2900314718809091,0.5747893452644348,0.3158341646194458,0.5668693199850928,0.32930701599507234,0.6467103958129883,0.1409485638141632,0.39625740583000774,3e-05
14,0.288920702124549,0.5724262595176697,0.32178810238838196,0.5721082325481175,0.33089103586480667,0.6531099677085876,0.14285364747047424,0.398890146807464,3e-05
15,0.2843946822069653,0.5667580366134644,0.3241078555583954,0.5740870521215244,0.32371836183434827,0.6380472779273987,0.15520064532756805,0.4102366552719524,3e-05
16,0.2835891464231659,0.5655902624130249,0.3288930654525757,0.5785674640543323,0.32997121924285383,0.6480709314346313,0.14286299049854279,0.39597074015922673,3e-05
17,0.28159726090628767,0.5617411136627197,0.3387143313884735,0.5869181274635572,0.3276618875577176,0.6491683721542358,0.1544155329465866,0.4014029148999879,3e-05
18,0.2789546142540167,0.5585833191871643,0.33925163745880127,0.5872930796089189,0.3316647700558499,0.6494266986846924,0.13509702682495117,0.3955373909312784,3e-05
19,0.2788363212650276,0.5577741265296936,0.3443705439567566,0.5917844071361831,0.3307247359761635,0.6507938504219055,0.14202894270420074,0.3892345001537117,3e-05
20,0.27713264526004444,0.5549670457839966,0.35422080755233765,0.600185893800306,0.327703999058675,0.6456702351570129,0.14662358164787292,0.3988319263941512,3e-05
21,0.2724796275961757,0.5489746928215027,0.35751205682754517,0.6029323642097764,0.32999618751630044,0.6502956748008728,0.1403825432062149,0.3936683807287693,3e-05
22,0.2719478244515834,0.5466982126235962,0.36591652035713196,0.6098851671428337,0.3311529471151348,0.6495670080184937,0.14034484326839447,0.3951497850689492,1.5e-05
