pathway,pcc,r2,mae
Oxidative_Phosphorylation,0.74534434,0.4762808,0.40126577
Fibrosis,0.7305535,0.39454067,0.49610633
ECM_Organization,0.7305223,0.466608,0.41003907
MYC_Targets,0.6912329,-0.19841456,0.5198529
G2M_Checkpoint,0.6582754,-0.46703994,1.2415844
Wound_Healing,0.6579474,0.16511601,0.51625603
mTOR_Signaling,0.6384686,0.23184359,0.53691757
tls,0.6366182,0.30960733,1.0257835
E2F_Targets,0.63604724,-0.35788608,0.9026721
Mitotic_Spindle,0.62393624,-0.28743362,1.1334201
Angiogenesis,0.5813525,0.15670437,0.96996456
Unfolded_Protein_Response,0.5807256,-0.32377863,0.7620709
Glycolysis,0.5806582,-0.94937,0.7763009
emt,0.5674836,0.26551503,0.36930096
IL6_JAK_STAT3,0.55817145,-0.7797793,0.78954005
P53_Pathway,0.547035,-1.1606457,1.1041297
DNA_Damage_Response,0.4689894,-0.59911597,1.1054435
Inflammatory_Response,0.4441866,0.1894505,0.8553798
tgfb,0.44316763,-0.1552118,0.63859093
Coagulation,0.43196145,0.11870098,0.6059516
mhc,0.4304766,0.11773646,0.19057523
Apoptosis,0.40462622,-0.041119456,0.6257329
Complement,0.3933318,-1.6843143,1.460405
hypoxia,0.386289,0.0422737,0.4600449
toxic,0.33062717,0.07947928,1.1821398
TNF_Signaling,0.32285774,-0.3619609,0.74230534
Reactive_Oxygen_Species,0.3016712,-1.374824,1.0534685
icp,0.26866212,-0.23896527,1.4146636
Interferon_Alpha,0.2503765,-2.2490046,1.1239401
ifng,0.17902385,-0.3269621,0.7022383
