pathway,mse,mae,r2,pcc
tls,0.45423153042793274,0.2730412185192108,0.6549011468887329,0.813950678768121
tgfb,0.8125370144844055,0.5666189193725586,0.11617887020111084,0.47576934415490174
emt,0.4746323525905609,0.43051597476005554,0.44782549142837524,0.7057861407461066
hypoxia,0.5355575680732727,0.4805268943309784,0.44128918647766113,0.6835234226973024
mhc,0.5165303945541382,0.4416564404964447,0.47157198190689087,0.7082220472604077
icp,0.8299609422683716,0.36579540371894836,0.29535406827926636,0.5452076070582677
ifng,0.6390731334686279,0.43322908878326416,0.2908030152320862,0.597612359362088
toxic,0.5955319404602051,0.3018523156642914,0.4459848999977112,0.6681355378455122
