epoch,train_loss,val_loss
1,17.16944776889198,10.90004228540764
2,6.805874173443509,6.68057031862885
3,5.332966058056545,5.528837176879551
4,4.950149983873104,5.0645697646670875
5,4.7162079417392935,4.859839848022656
6,4.588110241933886,4.715498751302941
7,4.492301812229386,4.590516124800856
8,4.433137469220719,4.549319702698962
9,4.3730049824562585,4.518853368430302
10,4.311738325263658,4.514395724767926
11,4.276413610790909,4.438887840029837
12,4.232388368656583,4.4182946971245345
13,4.1940769862655545,4.3802338730482
14,4.149358649899316,4.360248170136492
15,4.12517488156541,4.336213378309442
16,4.078496311506762,4.340029327348731
17,4.053280707169391,4.319512190946674
18,4.006009397973075,4.2985495144684505
19,3.9638692330671996,4.293923013816239
20,3.931480047467919,4.293739609943648
21,3.8841567869308062,4.279855078359826
22,3.8484583856027066,4.278757464992284
23,3.8105087716557473,4.2401205397200314
24,3.7762519989175884,4.289233147108387
25,3.7103678756027167,4.266493224549568
26,3.6775123858434946,4.2706096388523305
27,3.625129064171978,4.215423913142081
28,3.5782879692539944,4.228696325577387
29,3.5134720339325622,4.289309742806972
30,3.471529235914191,4.284227109351225
31,3.400147649770422,4.307265180280839
32,3.3541252773928356,4.277957830697032
33,3.307311901312868,4.335276842421803
34,3.245779487818036,4.363443306427197
35,3.1528233401408694,4.416826813613775
36,3.079930563973333,4.379142261556282
37,3.02046059139395,4.457259680576251
38,2.8934484476066498,4.490171801237007
39,2.861501788788869,4.468641743044896
40,2.7332390412128538,4.651297242248652
41,2.68739502784802,4.647222020464686
42,2.574302109735896,4.840573292582428
43,2.4907299864469565,4.78317138092119
44,2.395708661743464,4.862524285322557
45,2.2916289594644863,4.837159273115915
46,2.195421640202139,4.993455659384015
47,2.121239348948213,4.9953323132233605
48,2.006899038263452,5.399898884701394
49,1.9207552463851187,5.1657479019457355
50,1.7671782575711386,5.369799395935137
