epoch,train_loss,train_mae,train_r2,train_pcc,val_loss,val_mae,val_r2,val_pcc,lr
1,0.818042415380478,0.6599091251691183,0.17889577945073445,0.39886356322328426,0.8464106986920039,0.6953570276498795,0.016050386428833007,0.36702025922578474,0.0001
2,0.7383402248223623,0.614228809873263,0.2586820681889852,0.4872086896015349,0.8248664249976476,0.6835278123617172,0.04197970628738403,0.38621015288553434,0.0001
3,0.7159977783759435,0.6019359151522319,0.28107871611913043,0.510617702001342,0.8232902546723684,0.6806432644526164,0.042113123337427776,0.3912281094929213,0.0001
4,0.7011143714189529,0.5938349346319834,0.2959898769855499,0.5256839185285677,0.8210659633080165,0.6780412942171097,0.04284632205963135,0.3948373683045023,0.0001
5,0.6898527145385742,0.5881357868512471,0.3072857995827993,0.5370594904974376,0.8224582821130753,0.6814870208501815,0.03854486147562663,0.3945565797697332,0.0001
6,0.6807974338531494,0.5834853857755661,0.31634910504023234,0.5459724863169252,0.8153991361459096,0.6738774706919988,0.05041187802950541,0.39686283747362067,0.0001
7,0.6727322449286779,0.5793615450461705,0.3244294325510661,0.5537229614646072,0.8202699919541677,0.6765267183383306,0.04393379886945089,0.39598152784312857,0.0001
8,0.6653338154157002,0.5759850988785425,0.33184706966082256,0.5609136040060736,0.8187474052111308,0.6724427024523417,0.046682784954706825,0.3978155769661601,0.0001
9,0.6594863504171371,0.5732337454954783,0.33769508202870685,0.5663499525917322,0.8264742225408555,0.6781730065743129,0.03438933889071147,0.39420307033515656,0.0001
10,0.6527760614951451,0.5700290441513062,0.3444460411866506,0.5727441658857362,0.8328096201022466,0.6806865572929383,0.027536400159200034,0.3945705964831643,0.0001
11,0.6467625826597214,0.5670066108306249,0.35045620004336037,0.578270589856561,0.8274024337530136,0.677136073509852,0.032004185517628986,0.3936207257594481,0.0001
