epoch,train_loss,val_loss
1,26.970361835687232,23.246759036801897
2,15.038667262248913,15.421232230708284
3,10.067672150105114,11.516873888699514
4,7.57156840208684,9.055526074823344
5,6.342859769366276,7.405885480484873
6,5.532617769281235,6.401862657295083
7,5.05295787316486,5.878528224297289
8,4.799339513898395,5.483767257546479
9,4.592838766983863,5.240747412195746
10,4.430712981603135,5.1552935033474325
11,4.3538222304946705,5.01863915245488
12,4.252072430654549,5.032598943530388
13,4.146678788492371,4.960905503326992
14,4.086409930704029,4.943095500514192
15,3.9484261480834193,4.897743974541718
16,3.9255197748479485,4.857297551856851
17,3.87820648009807,4.813603325609891
18,3.7815081321045945,4.7993169586613496
19,3.692086735330366,4.779119727296649
20,3.6700584004613646,4.766028886471155
21,3.6183361999160577,4.79796033355425
22,3.5042073289719586,4.816416604563875
23,3.4621179724338162,4.815110789604907
24,3.42160976601445,4.7417343643476375
25,3.338000791541702,4.774582568654474
26,3.275965180656401,4.795961397998738
27,3.210542079095561,4.851669331316678
28,3.1443612597477486,4.873330106375352
29,3.0617915672238403,4.881221179242404
30,2.9929833358301776,4.920018884370911
31,2.944104176684902,4.836726571029088
32,2.8623886918423067,4.868310199593598
33,2.7523470429695798,4.857874837911354
34,2.7019914611114118,4.951707848962748
35,2.625379835910877,4.908789854229621
36,2.492587848288245,4.994502925872803
37,2.4113973048940363,4.973645478374554
38,2.357694257153627,5.050102241983954
39,2.2635627371496736,4.948511129055383
40,2.1717419923598795,4.962978772397311
41,2.032831011157654,5.091379989767974
42,1.9640844923681793,5.0838340057517
43,1.8909019597903456,4.988898318668581
44,1.77231358613928,5.074649017262009
45,1.6833243650372558,5.204299071150006
46,1.628364993139291,5.271199645636217
47,1.5743406014462396,5.294972052664127
48,1.4721216444191074,5.237426919757195
49,1.3916349966655714,5.2614765833008965
50,1.3243393052073202,5.310987031684731
