epoch,train_loss,train_mae,train_r2,train_pcc,val_loss,val_mae,val_r2,val_pcc,lr
1,0.3105742381447014,0.6330531239509583,0.23398108780384064,0.48864213455384947,0.3385028041576486,0.6607359051704407,0.11334837973117828,0.37327743526394724,0.0001
2,0.27856483001536897,0.5872479677200317,0.31951430439949036,0.5678786192822006,0.33880790967052266,0.6538804173469543,0.10338287800550461,0.39020363552950865,0.0001
3,0.26584581808483676,0.5691820979118347,0.353456050157547,0.5967266629088396,0.333132281164216,0.6518744230270386,0.12699007987976074,0.3945880460444205,0.0001
4,0.2563478332429078,0.5556127429008484,0.3784829080104828,0.6171576764618311,0.3345821208648538,0.6537536382675171,0.12395069748163223,0.3855010432661938,0.0001
5,0.2475953660485535,0.5438423752784729,0.4023452699184418,0.6361450917549816,0.33473816406255386,0.6539437174797058,0.12573979794979095,0.39003955412001134,0.0001
6,0.23917656519457103,0.5319271087646484,0.42394351959228516,0.6528698887655291,0.335451136751139,0.6538832783699036,0.11736561357975006,0.38364181744129855,0.0001
7,0.23122951081133644,0.52109694480896,0.4451390504837036,0.6690420619617875,0.3387255514970158,0.6607710719108582,0.11393149197101593,0.3746479354913807,0.0001
8,0.2227599217776219,0.5097378492355347,0.4672800302505493,0.6854873915442993,0.34467214263989654,0.6672032475471497,0.09786143153905869,0.37299531168270667,0.0001
9,0.21423324016253184,0.49784839153289795,0.4892500042915344,0.7013773071274987,0.3439701912766796,0.6662616729736328,0.10069363564252853,0.36201067350459915,0.0001
10,0.20123006479840008,0.47931185364723206,0.5224646329879761,0.7251760526271385,0.34910127490253773,0.6742048263549805,0.08809517323970795,0.36404367752427463,5e-05
11,0.19555618720686432,0.47134965658187866,0.5369898080825806,0.7352382829007011,0.3480466349986987,0.6727272272109985,0.08859742432832718,0.36143678942459395,5e-05
12,0.19058522221634547,0.46444979310035706,0.5496075749397278,0.7439113599311308,0.3488931618504605,0.6732486486434937,0.08689705282449722,0.3576090862959543,5e-05
13,0.18594522451171736,0.45820724964141846,0.5615476369857788,0.7518946085085148,0.3530295855469174,0.6792418956756592,0.07403043657541275,0.35511264891534633,5e-05
14,0.1812917320132372,0.45163241028785706,0.5735424757003784,0.7599258132056201,0.35538760812044595,0.6833868622779846,0.06881998479366302,0.34679660772492593,5e-05
15,0.17673282480967503,0.44545963406562805,0.5852121710777283,0.7676104002041813,0.35493092636828594,0.682726263999939,0.07072994112968445,0.34921365038342667,5e-05
16,0.16916869761198167,0.4342220425605774,0.604022741317749,0.7799215639740791,0.35359141543760136,0.6815367341041565,0.07578495889902115,0.3462742566875958,2.5e-05
17,0.1668140614943647,0.43078142404556274,0.6099932193756104,0.7837766578910953,0.35467233789169184,0.6817582845687866,0.06971387565135956,0.34545131266402795,2.5e-05
18,0.16439053896941017,0.4273839294910431,0.6159246563911438,0.7876254394379325,0.35720638496952095,0.6870287656784058,0.06798963993787766,0.34202540092024225,2.5e-05
