epoch,train_loss,val_loss,macro_mse,macro_mae,macro_r2,macro_pcc
0,0.0,0.875636637210846,0.8848140835762024,0.6576409935951233,-0.02878153696656227,0.2919293940067291
1,0.9665809273719788,0.9070168733596802,0.9161500930786133,0.6643688678741455,-0.07451421767473221,0.28905168175697327
2,0.9106826186180115,0.8637898564338684,0.8727009892463684,0.6466556191444397,-0.021084297448396683,0.3496946096420288
3,0.8869929313659668,0.8332028985023499,0.8393203020095825,0.6351572871208191,-0.014954309910535812,0.3763047158718109
4,0.8752368092536926,0.8437672853469849,0.8497467041015625,0.6546592712402344,-0.01965278759598732,0.36143866181373596
5,0.8587185740470886,0.822348415851593,0.8304665088653564,0.6296114325523376,0.00591705460101366,0.39192402362823486
6,0.8546512126922607,0.8399240374565125,0.8466122150421143,0.6301783323287964,-0.036226093769073486,0.3854418098926544
7,0.8380265235900879,0.8131208419799805,0.8214170336723328,0.6163758635520935,0.012683403678238392,0.39532747864723206
8,0.8332763314247131,0.8716318011283875,0.8831952810287476,0.6502242684364319,-0.09939909726381302,0.3850991427898407
9,0.8234090805053711,0.819571316242218,0.8273698091506958,0.6282376050949097,-0.022453483194112778,0.3946884870529175
10,0.8220579624176025,0.8141571879386902,0.8219101428985596,0.6196277141571045,-0.017483007162809372,0.3929310142993927
11,0.8101857900619507,0.8221914172172546,0.82834392786026,0.6284587383270264,-0.026367241516709328,0.3976905643939972
12,0.8061537742614746,0.8009458184242249,0.8087650537490845,0.6074830889701843,0.03353624790906906,0.4138379395008087
13,0.7963271141052246,0.8076625466346741,0.8129250407218933,0.6126815676689148,0.013927712105214596,0.41781166195869446
14,0.7945039868354797,0.7958403825759888,0.8018946051597595,0.5986009836196899,0.033110182732343674,0.4255461096763611
15,0.7803263664245605,0.8059738278388977,0.8111318945884705,0.6051677465438843,0.002073668409138918,0.4237079918384552
16,0.7741571068763733,0.8136991858482361,0.8180201053619385,0.602498471736908,-0.012065796181559563,0.4248689115047455
17,0.7725825905799866,0.8018559217453003,0.8082985281944275,0.6066938638687134,0.01594473235309124,0.4190121293067932
18,0.7652575373649597,0.8059400916099548,0.8126068115234375,0.6105821132659912,-0.004221856594085693,0.42362502217292786
19,0.7562602162361145,0.7955480813980103,0.8008164167404175,0.5996216535568237,0.026170063763856888,0.42962679266929626
20,0.7506794333457947,0.8082794547080994,0.8153551816940308,0.60218745470047,0.01776447333395481,0.42050886154174805
21,0.7453295588493347,0.7959548234939575,0.8033085465431213,0.6097436547279358,7.751429075142369e-05,0.43671882152557373
22,0.7342962026596069,0.817557692527771,0.8215814828872681,0.6100305318832397,-0.03433959186077118,0.42565423250198364
23,0.7265751957893372,0.8082564473152161,0.8144354224205017,0.5997213125228882,0.023474637418985367,0.41771137714385986
24,0.7164279818534851,0.8206653594970703,0.8275501132011414,0.6100987792015076,-0.0016028151148930192,0.4121013879776001
25,0.7038569450378418,0.8186755776405334,0.8247917890548706,0.6135461330413818,-0.030886566266417503,0.42575833201408386
26,0.6972208619117737,0.8080113530158997,0.8154623508453369,0.6048147082328796,-0.002906044479459524,0.41844865679740906
27,0.6854420900344849,0.8759215474128723,0.881826639175415,0.6270788908004761,-0.10843238234519958,0.40239086747169495
28,0.6735538244247437,0.807192862033844,0.813839852809906,0.5953866839408875,-0.00041213195072486997,0.4157906770706177
29,0.6525883078575134,0.8181365728378296,0.8246241807937622,0.5996242165565491,-0.012634901329874992,0.4142109453678131
30,0.6361056566238403,0.8276830315589905,0.8336295485496521,0.606705367565155,-0.05080150440335274,0.40395990014076233
31,0.624580979347229,0.8258082866668701,0.8329349160194397,0.6053023934364319,-0.03457341715693474,0.4033423960208893
32,0.6217875480651855,0.84513920545578,0.8515374064445496,0.6133353114128113,-0.0614742785692215,0.410878986120224
33,0.6157568097114563,0.832020103931427,0.8392524123191833,0.6110062003135681,-0.06166553869843483,0.40054088830947876
34,0.604318380355835,0.8419484496116638,0.8490568995475769,0.6073451638221741,-0.06964898109436035,0.3966652452945709
35,0.5836588740348816,0.8395404815673828,0.8469104766845703,0.6094530820846558,-0.06942689418792725,0.39988720417022705
36,0.5842851400375366,0.8472939133644104,0.8542134165763855,0.6128963232040405,-0.06968467682600021,0.39481398463249207
37,0.576045036315918,0.845493733882904,0.8529058694839478,0.6113798022270203,-0.07723752409219742,0.3952740430831909
38,0.572749137878418,0.8411906957626343,0.8481423258781433,0.6091757416725159,-0.07237296551465988,0.39902570843696594
39,0.567388653755188,0.8444724082946777,0.851676881313324,0.6103604435920715,-0.08012090623378754,0.3935618996620178
40,0.5639339089393616,0.8517434000968933,0.8584057092666626,0.612413763999939,-0.08779445290565491,0.39434894919395447
41,0.5487873554229736,0.852313220500946,0.8592891097068787,0.6102085113525391,-0.08487003296613693,0.3941255509853363
42,0.5526570081710815,0.8589510917663574,0.8656395077705383,0.615586519241333,-0.10391661524772644,0.3919888734817505
43,0.5471562743186951,0.857874870300293,0.8647814989089966,0.6149832606315613,-0.09079839289188385,0.3873341381549835
44,0.5481268167495728,0.8567728996276855,0.8635503053665161,0.6136214137077332,-0.09087024629116058,0.3911835551261902
45,0.5436655282974243,0.8564122319221497,0.8633365035057068,0.6136793494224548,-0.09350746124982834,0.38803520798683167
46,0.5394272208213806,0.8667461276054382,0.8730484247207642,0.618473470211029,-0.10886456072330475,0.3854128420352936
47,0.5333945155143738,0.8607431054115295,0.8676664233207703,0.6141402125358582,-0.10154084861278534,0.3891381025314331
48,0.5390082001686096,0.8606403470039368,0.8676354289054871,0.6144447326660156,-0.09930385649204254,0.38784828782081604
49,0.5340099930763245,0.8588619232177734,0.8657229542732239,0.614888072013855,-0.09766512364149094,0.38891980051994324
