epoch,train_loss,val_loss
1,18.625308162324774,12.009622107809298
2,7.079679281956273,6.8247054781958205
3,5.345107569351805,5.4785257319159575
4,4.866006004002911,5.068711508129947
5,4.677732590492291,4.870855624761467
6,4.5555573426488944,4.793084349041773
7,4.463261684416596,4.72747418597916
8,4.387844506962981,4.639833515080885
9,4.336488990873954,4.618438481967078
10,4.276314425137014,4.600171388227358
11,4.233103399127237,4.545930490354088
12,4.1750098874109876,4.532766071680224
13,4.131582342213831,4.5261894612115485
14,4.09841209218122,4.515988948659478
15,4.055381491493805,4.478669358950639
16,4.0002819114590284,4.493069987798658
17,3.9646877577515687,4.455085505499503
18,3.9217134905580724,4.444836732074519
19,3.8711828301200426,4.412423573226015
20,3.806009335759052,4.433327086914713
21,3.754403723023129,4.443581525241329
22,3.714892326604329,4.396508790205385
23,3.638062468720272,4.406897638831412
24,3.6005188659322718,4.467453221347773
25,3.5482209842256527,4.417366998014692
26,3.466000610961959,4.424977383823116
27,3.4101516917696086,4.457328056050998
28,3.3294720465669405,4.483747148323313
29,3.25671294059178,4.447817378291753
30,3.179992571556861,4.5848215397759855
31,3.1136522501116497,4.543447126243785
32,3.028174557441863,4.631491540433881
33,2.927634180526485,4.555700691974909
34,2.8365286414138806,4.632915500635789
