epoch,train_mse_loss,val_mse_loss
1,0.8750738770866627,0.7723454348088814
2,0.8127709543019146,0.7483593587508238
3,0.7912198307596285,0.7334847521374002
4,0.7769253899780642,0.7242111522890543
5,0.7649834444591227,0.7170452303791948
6,0.7541802559640783,0.7097010666161494
7,0.7436281028971866,0.7032089639976721
8,0.7338423019994379,0.7002743660786408
9,0.7253762859093411,0.6956876524393218
10,0.7155306862372791,0.6873234205286763
11,0.7062099221002089,0.6832619315866199
12,0.6987227927020149,0.6818061969345725
13,0.6894678597515795,0.6770526481769688
14,0.6799619365552552,0.6778663710021372
15,0.6718293037890821,0.6720302439873844
16,0.6626471032664993,0.6660380926501477
17,0.6518754447213787,0.6629986774271965
18,0.6451318103913778,0.6605345378153928
19,0.6360151391376268,0.6564570389745044
20,0.6283475746415499,0.6578005812877687
21,0.6194068852618905,0.6602421572540108
22,0.6103330455020484,0.6533711980667698
23,0.6004015473563189,0.6475722149705522
24,0.5920012453538458,0.6478590879393075
25,0.583393862197884,0.6443543149672452
26,0.5749261763016678,0.6468967905671464
27,0.567492559901225,0.6426103204448499
28,0.5564769335562656,0.6374208989147665
29,0.5484703726442173,0.6334024947648218
30,0.5397136836479487,0.6305393422578488
31,0.5324488926053077,0.6291260266024913
32,0.525377083833952,0.6332851360102915
33,0.5154643322175642,0.6325919469537524
34,0.5078720883029846,0.6200695499167256
35,0.4998300114541134,0.6213402481349617
36,0.4917519980227879,0.6197870132194238
37,0.48606262334570133,0.6235272879806631
38,0.47713050717512795,0.6198141209073348
39,0.4673498112566117,0.6125174811003392
40,0.46114241774915227,0.6157340430182844
41,0.4540988732631572,0.6109406358483996
42,0.4471696609707515,0.616841883983552
43,0.44100599771816756,0.6074781258435789
44,0.43312161144980194,0.6063444462513827
45,0.4291123926480857,0.6074217059010055
46,0.41966333049428733,0.6062858979050397
47,0.4150417216417836,0.594936408233342
48,0.4086897484761137,0.5991103175468995
49,0.4036202995610624,0.5954844000531659
50,0.3971472708630681,0.5950684217599425
51,0.3916360773048305,0.5974901413015823
52,0.384491800472692,0.592229191594594
53,0.380564137759799,0.600070210551958
54,0.3761225858739379,0.5843120452414113
55,0.37067907662388744,0.5874180983498739
56,0.36687156034327445,0.5900883969558568
57,0.35932952797829354,0.586093585671524
58,0.3555288646930849,0.5818272866627376
59,0.35139551427212257,0.5817292327818598
60,0.3469902109403658,0.5804302746623768
61,0.3415756601908214,0.5805540805139933
62,0.33867113015189587,0.5846100552615578
63,0.33273946168663493,0.574052030280172
64,0.32959188789679345,0.5708054702381785
65,0.32457153771436,0.570704150473626
66,0.3210525311082221,0.5707742988607036
67,0.3197240306819986,0.5700850662536742
68,0.31234869610661503,0.5725499851271034
69,0.31041943478360395,0.5673217604365343
70,0.30538083528368315,0.5627453894509973
71,0.30447365401849996,0.567804710895078
72,0.29980127743684226,0.5669436305828429
73,0.2961337515173599,0.5632050532792292
74,0.2944402296848168,0.5649507131623771
75,0.2899014159462826,0.5559946999309408
76,0.2866350783951503,0.5665983554480689
77,0.28233817528877125,0.5569231613215859
78,0.28000274849269113,0.5570494617389591
79,0.2777382520131036,0.5569887066252432
80,0.2744772761038267,0.5574846586521979
