epoch,train_mse_loss,val_mse_loss
1,0.9994622276417879,0.9511924509732228
2,0.9873588915150535,0.9395947172956647
3,0.9758454568715275,0.9286143478357567
4,0.9652291321854213,0.9184025233646609
5,0.9546910486959513,0.9085470932834553
6,0.9446589211539743,0.8979653174022458
7,0.935079446547201,0.8893094602620827
8,0.9255490827759938,0.879730490468583
9,0.9172452717645397,0.8707969809478184
10,0.9081101945254593,0.862616455330039
11,0.9003789547098232,0.8537083490839544
12,0.8894403699551666,0.8470666467018847
13,0.8821287971161399,0.8391983360614417
14,0.8742933119191285,0.8320680537313785
15,0.8664208087462262,0.8256940400825357
16,0.8598350061532344,0.8200067718074007
17,0.8537103386603638,0.8134065322156222
18,0.8464220839065488,0.8070966257239288
19,0.8398982802195529,0.8012970384561791
20,0.8334111046092779,0.7961757857844515
21,0.8264493400082927,0.7922611295052294
22,0.8252749584708753,0.7872910895437565
23,0.8181204990861805,0.7844838218868904
24,0.8113684051206421,0.7799629206927318
25,0.8085777019357083,0.7765310935254367
26,0.8061054246694972,0.7734486642873513
27,0.800363145413259,0.7700215924460933
28,0.7970786712159672,0.768281226787927
29,0.7935548089039376,0.7661876219623494
30,0.7906168714228036,0.7634982315999157
31,0.78218729989798,0.7630374008754515
32,0.7821044956789854,0.7609490916414081
33,0.7809672075335451,0.7579884295193654
34,0.7777347697373713,0.7560840129852295
35,0.7757015691641485,0.7563081156532719
36,0.7753654400175086,0.7540385246276855
37,0.7734950533471846,0.752553132794938
38,0.771069452203966,0.7509972959194543
39,0.7674712517770265,0.7500862517446841
40,0.7645445937890887,0.7498606079029587
41,0.7636081072077093,0.7483099645038821
42,0.7605947717961906,0.747118067741394
43,0.7574960665223988,0.748713133020221
44,0.7594841783515579,0.74522939538056
45,0.7557633778041377,0.7447559131766265
46,0.7519148381684115,0.7435732364654541
47,0.7543879455602319,0.7428280079139853
48,0.7510806173959038,0.7412024300053435
49,0.7500834071985348,0.741316837184834
50,0.7422839128322681,0.7405848777519082
51,0.7481038136462287,0.7393820186830916
52,0.7463995229749001,0.7393862699562649
53,0.7487293607520259,0.7383187195040145
54,0.7459144514474909,0.737793039375881
55,0.7429193029343832,0.7371865128571132
56,0.7463340407136095,0.7387003714183591
57,0.7387214931982831,0.736893274424211
58,0.7388463068207937,0.7351469305326354
59,0.7363489421341709,0.7350806461190278
60,0.7330040082771908,0.7352414270616927
61,0.735210238440765,0.733094485525815
62,0.7322631262336315,0.7337121299977573
63,0.7277673682408353,0.734075483511079
64,0.7295075954253704,0.7343754642414597
65,0.7278936292835858,0.7338354268164005
66,0.7289371043568376,0.7308067447734329
67,0.7272170902794873,0.7313183858709515
68,0.7266802530907188,0.7321876633842036
69,0.7229206772528932,0.7303027458910673
70,0.7239329250786594,0.7313804664701785
71,0.7229995340981743,0.7328882950656819
