epoch,train_loss,train_mse,train_mae,train_rmse,train_r2,train_pcc,train_smape,train_nmae,train_nrmse,val_loss,val_mse,val_mae,val_rmse,val_r2,val_pcc,val_smape,val_nmae,val_nrmse,lr
1,0.849617328399267,0.8520709946751595,0.628325566649437,0.9213080742664165,0.14667903631925583,0.3573807729650961,120.3594799041748,0.1036694173325537,0.1397272162732457,0.6739017516374588,0.7876574099063873,0.5505211278796196,0.884369582314856,0.2242230921983719,0.45585905493157,99.47472476959229,0.09752109822096368,0.14092202682944635,0.0001
2,0.7671403991870391,0.7677675634622574,0.572283435612917,0.872603138113055,0.23132237792015076,0.45648083394741357,103.8134355545044,0.09430406115723756,0.1323060340672368,0.6574524864554405,0.7644281685352325,0.5375903025269508,0.87088851438672,0.24653694778680801,0.48101189265307587,97.51206493377686,0.09509680788149455,0.13867711603872013,0.0001
3,0.7458169888227414,0.7452276945114136,0.5621058605611324,0.8593751371549545,0.25393181294202805,0.4835259697293842,101.31702327728271,0.0925765341606925,0.1304189368583905,0.6379184871912003,0.7478276193141937,0.5294485650956631,0.861038450026845,0.26297877728939056,0.49885064617644387,95.8842830657959,0.0933700476969048,0.1370142545049427,0.0001
4,0.7270412017137576,0.7276207022368908,0.550935760140419,0.8489507128716773,0.2715718448162079,0.5035580827224506,98.70463371276855,0.09064008668218718,0.1288329267592923,0.6276533752679825,0.7358703315258026,0.5259424895048141,0.8541143377707541,0.274053730070591,0.5112228987594716,95.12961864471436,0.09261788712541548,0.1359774437854812,0.0001
5,0.7134740444330069,0.7135329283773899,0.5448159910738468,0.8404779719743679,0.285688191652298,0.5185368208025799,97.83447456359863,0.08951311157085531,0.12751953516147682,0.6190977245569229,0.7267984300851822,0.5246591717004776,0.8487281381150151,0.2828029841184616,0.5204640852152238,94.68818378448486,0.09235711959862078,0.13516000710462017,0.0001
6,0.7000237993704967,0.700654037296772,0.5402718000113964,0.832795672486617,0.2985965833067894,0.5330811337428418,96.83166313171387,0.08881374483206919,0.12646501011869948,0.6119415462017059,0.7196723744273186,0.5157480835914612,0.8443252396858859,0.2900778353214264,0.5274563083922255,92.35210609436035,0.09103751882056363,0.13434556331114103,0.0001
7,0.6879580020904541,0.6883076429367065,0.534530483186245,0.8252150745392537,0.3109665662050247,0.5452175549675222,95.69619369506836,0.08787025727803705,0.1253158184271279,0.6038822904229164,0.7121035978198051,0.5098860114812851,0.8397749185112318,0.2972639203071594,0.5346787228086489,90.37425136566162,0.08988529639224101,0.13378780234001744,0.0001
8,0.6793049803146949,0.6761738732457161,0.53054578602314,0.817812778800777,0.3231424391269684,0.5578972676198435,94.92480373382568,0.08711358841278197,0.12436137447316627,0.5973311066627502,0.707122452557087,0.5219111666083336,0.8368199585736382,0.30162275582551956,0.5407677688078188,95.3096809387207,0.09159006087573468,0.13331478716358297,0.0001
9,0.6650968927603501,0.6694548949599266,0.5283579751849174,0.8136631952528212,0.32987046241760254,0.5644235299683337,94.75314521789551,0.08659846008993445,0.12363932135927554,0.5888935066759586,0.7005588002502918,0.5037276968359947,0.832814253981069,0.3083326071500778,0.5451010479986953,89.29899168014526,0.08877196536874121,0.1325650116010456,0.0001
10,0.6565971710743048,0.6572298631072044,0.521940290927887,0.806092156342413,0.34211428463459015,0.5764033445752654,93.32555866241455,0.0856687634639777,0.12248935341277443,0.5828345268964767,0.6965409517288208,0.5052986219525337,0.8303335170391253,0.3123948648571968,0.5506640324984313,91.13907241821289,0.08897126343168485,0.1321886793929997,0.0001
11,0.6470253635675479,0.647318784147501,0.5190214477479458,0.8000390797408311,0.3520212695002556,0.5859436993951134,93.07369709014893,0.08501800134352473,0.1216003935943786,0.5740644186735153,0.6877040416002274,0.5090823657810688,0.8251693464562425,0.3203652650117874,0.5565218483567375,91.1047945022583,0.08895595674556159,0.13154445709490226,0.0001
12,0.6394528318674136,0.6403011456131935,0.5170953348278999,0.7954833930842822,0.35908225923776627,0.5924651974460453,92.71458721160889,0.08470449309143743,0.12098208098723426,0.5732608735561371,0.685850951820612,0.5088994987308979,0.8237130695288748,0.32246389985084534,0.5603105501521807,92.88101196289062,0.08912247338439885,0.13119151065635234,0.0001
13,0.6304222391201899,0.6307589039206505,0.5133320949971676,0.7895298404098767,0.3686305209994316,0.6011953927403607,92.23904323577881,0.08402469710672571,0.12010234869903381,0.5704976953566074,0.6810773424804211,0.5046067088842392,0.8210200279411048,0.32725419104099274,0.562905972601532,89.81705236434937,0.08839118564053738,0.13085844417725154,0.0001
14,0.6216113544427432,0.6228053160011768,0.5093903690576553,0.7843505081995074,0.37659500539302826,0.6080821809810474,91.48477840423584,0.08339979510971907,0.11933652305690555,0.5673473663628101,0.6784420274198055,0.5014719404280186,0.8194554650719634,0.32968926429748535,0.5658679522673158,89.27740478515625,0.08792551319901769,0.13058225469352636,0.0001
15,0.6139460313014495,0.6160099804401398,0.5076710544526577,0.7801093348416067,0.3834173381328583,0.6146829714959466,91.23729228973389,0.08309199894249603,0.11873355891149917,0.5611657984554768,0.6732166968286037,0.4996997304260731,0.816486335318586,0.33409007638692856,0.5694075095104032,89.25500583648682,0.08729265217867746,0.13029585825100232,0.0001
16,0.6099520807082837,0.6096483021974564,0.5048081427812576,0.7759858874751583,0.38978176563978195,0.6198616265332628,90.81486511230469,0.08251408828384643,0.11809130168248402,0.5617617256939411,0.6725044660270214,0.5031080357730389,0.8156527051605598,0.3346932753920555,0.5679448741095218,89.88038063049316,0.08775370339535046,0.13013924003134927,0.0001
17,0.6048055627407172,0.6013245917856693,0.5017819292843342,0.7705718144414362,0.3981117531657219,0.6269621988102481,90.25094985961914,0.08197762590095414,0.11732801085429342,0.556566447019577,0.6693089008331299,0.5021383166313171,0.8140078567730795,0.33823899179697037,0.5734720857245343,90.10525608062744,0.08797943473447889,0.12989685761517192,0.0001
18,0.5918456392410474,0.5936437621712685,0.49953925237059593,0.765665409737766,0.40579283237457275,0.6340549050946129,90.03730297088623,0.08167071639613399,0.1165857638089079,0.5552542917430401,0.666173342615366,0.5004471801221371,0.8119316022215723,0.3409523218870163,0.5753050404889805,90.51593780517578,0.08748411795590175,0.12969560376775968,0.0001
19,0.5844989266151037,0.5847464613616467,0.4964541643857956,0.7599197534282911,0.4147019386291504,0.6419356136225084,89.70623111724854,0.08108076211540453,0.11574364739342966,0.5509880259633064,0.661495428532362,0.49495140463113785,0.8090298727679872,0.3454962968826294,0.580233173152324,88.31619834899902,0.08644139590893427,0.12923687729158698,0.0001
20,0.5774288513721564,0.577435776591301,0.49286169558763504,0.7551483418718576,0.4220274090766907,0.6476630368913378,89.01620674133301,0.08045773938503195,0.11503922449806578,0.5475869104266167,0.6599549949169159,0.4954858832061291,0.8081161691014229,0.3468419015407562,0.5790472392050479,87.14342451095581,0.08621863032845477,0.1290628349839462,0.0001
21,0.5690280909721668,0.5700610019266605,0.4903927184641361,0.7501767041469383,0.4294452369213104,0.6538737523156597,88.43274259567261,0.07994612179814695,0.1142729248700611,0.5466200560331345,0.6578731834888458,0.49605396017432213,0.8068457786615508,0.3493744879961014,0.5841434907433689,89.13900566101074,0.08672560621336053,0.12884678580415515,0.0001
22,0.5627621779075036,0.5638010539114475,0.48805074766278267,0.746056081360229,0.43570008873939514,0.6592006039538956,88.42424583435059,0.0795551580575311,0.1136602233711732,0.5461185723543167,0.6569493226706982,0.5069648548960686,0.8061855831617617,0.34958184510469437,0.5837383132296128,91.11153411865234,0.08807233824591076,0.12890771766577494,0.0001
23,0.5561983906305753,0.5555980168282986,0.48613298311829567,0.7405735998493737,0.44389069825410843,0.6657642352059943,88.0493803024292,0.07914372632194054,0.11283391492981318,0.5419156290590763,0.6525154709815979,0.4997960105538368,0.8037570351582792,0.35387446731328964,0.5879053764113777,89.54882764816284,0.08700369359933284,0.1284741107718725,0.0001
24,0.5486488426342989,0.5507831238210201,0.4839107245206833,0.7372377269399983,0.4487350285053253,0.6694755110264647,87.90029096603394,0.07882334286022555,0.11244774204210017,0.5400899276137352,0.6484549716114998,0.492948804050684,0.8011391876374614,0.35809990018606186,0.5902763384666182,87.29954290390015,0.08578919581259778,0.12800299259621595,0.0001
25,0.5402798591515957,0.5429877750575542,0.48071643710136414,0.7322088714213406,0.45651960372924805,0.6755558645640919,87.27478981018066,0.07827292419920229,0.11171744861616051,0.5347703099250793,0.6475671045482159,0.49755847081542015,0.8005074396303411,0.35835250467061996,0.5917691929043862,89.62757349014282,0.08670790797317571,0.12804195949900862,0.0001
26,0.5359932596866901,0.5357882864773273,0.47813650593161583,0.7271207266247715,0.4637461230158806,0.6816460430685768,86.95260190963745,0.07781117071215374,0.11096462985072088,0.5384807772934437,0.6485086604952812,0.49761442840099335,0.800987202621664,0.35762935131788254,0.5922965724191593,89.06597423553467,0.08653686283371625,0.12808685918569238,0.0001
