epoch,train_loss,val_loss,val_pcc,val_mae,val_r2
0,0.382238337011249,0.977853000164032,0.22052242133474845,0.7128315567970276,0.022201137617230415
1,0.3434558625298518,0.9381710290908813,0.2742435921007023,0.6940696835517883,0.06212979182600975
2,0.3262702610205721,0.9216358065605164,0.30191782667319195,0.6851228475570679,0.07874583452939987
3,0.3161264019155944,0.9137964248657227,0.3202264752259773,0.676143229007721,0.08656399697065353
4,0.30942122389872867,0.9075247049331665,0.32949347722765154,0.6745375990867615,0.09283466637134552
5,0.30505186822955255,0.8971081376075745,0.33660342455811293,0.6706074476242065,0.10338351875543594
6,0.30104310658794864,0.9098440408706665,0.3344402342277602,0.6703593134880066,0.09033975750207901
7,0.2973920159317829,0.909002423286438,0.33253911550889914,0.6707038879394531,0.09116292744874954
8,0.29440624742872185,0.8996080756187439,0.338935814385448,0.6709687113761902,0.10069059580564499
9,0.2917021120450011,0.8934791088104248,0.34618042460131926,0.6673659086227417,0.10683009773492813
10,0.2894104633618284,0.9056950807571411,0.33686736979554965,0.6735581755638123,0.09444138407707214
11,0.28763706437139597,0.8978347778320312,0.3500824355484886,0.6647247076034546,0.10246200859546661
12,0.28514998592436314,0.9141759276390076,0.33056452975015715,0.6769789457321167,0.08583009988069534
13,0.2838055330708071,0.898576557636261,0.34564776180111334,0.6661214232444763,0.1016865149140358
14,0.28151902956543146,0.9090302586555481,0.3433040566005777,0.6686697006225586,0.09104278683662415
15,0.280040530004987,0.9080533385276794,0.344758636151359,0.6678021550178528,0.09205213189125061
16,0.27775191736442073,0.9004350304603577,0.3415669589123359,0.6701552867889404,0.09976223111152649
17,0.27688218687695487,0.9104271531105042,0.33634438522986426,0.6758598685264587,0.08969884365797043
18,0.276071612343744,0.9096775650978088,0.3366203820725841,0.6740092039108276,0.0904415026307106
19,0.2749314492361413,0.9049099683761597,0.3423897846482537,0.6713643670082092,0.09522353857755661
20,0.27448008250859046,0.917144238948822,0.3343194115524678,0.677090585231781,0.08283492922782898
21,0.27357442194113024,0.9090728163719177,0.3365552343305496,0.6758652329444885,0.09106229990720749
22,0.2726421186493503,0.9136354327201843,0.3361421573282975,0.6746350526809692,0.08641823381185532
23,0.2718063161053039,0.9131603240966797,0.34053718472328637,0.6704658269882202,0.08687278628349304
24,0.2716092840526943,0.9152389168739319,0.33459423906822994,0.6763126254081726,0.08480588346719742
25,0.2712704276459085,0.9091600775718689,0.34137061828935084,0.6701107621192932,0.09090067446231842
26,0.27088021811235835,0.9141984581947327,0.33893976007111043,0.6717683672904968,0.08579813688993454
27,0.2704066892189008,0.9177978038787842,0.3327839004255081,0.6765406131744385,0.08221033215522766
28,0.2698499651418792,0.9126059412956238,0.34044074514774647,0.6687110066413879,0.0874091237783432
29,0.270056348156046,0.913114607334137,0.33719647472533376,0.6739989519119263,0.08691129833459854
30,0.2698674651759642,0.9167823791503906,0.33532638139373955,0.6757623553276062,0.08320297300815582
