epoch,train_loss,train_pcc,train_r2,train_mae,val_loss,val_pcc,val_r2,val_mae,lr
1,0.30107775854018615,0.4864172861766766,0.23007120192050934,0.6062185764312744,0.3662602969899899,0.3623008555704114,0.1178145706653595,0.7218175530433655,0.0001
2,0.26797637034480165,0.5722579285705036,0.32380059361457825,0.5577463507652283,0.36502403906031083,0.372587785981736,0.11634790897369385,0.7161659002304077,0.0001
3,0.2484897018874095,0.617358393955286,0.37823936343193054,0.5306710600852966,0.3754601633405771,0.3524950696535004,0.08940780907869339,0.7293298840522766,0.0001
4,0.2271758601579443,0.6625294235200975,0.4365149140357971,0.5019216537475586,0.3755384833951421,0.34471634521147465,0.09089625626802444,0.730258047580719,0.0001
5,0.20376407869459137,0.7089070198883904,0.5002315640449524,0.4706280529499054,0.38444546042245453,0.3238352524840869,0.06653938442468643,0.741245687007904,0.0001
6,0.18004781829030564,0.7518961640927132,0.563041090965271,0.4383430778980255,0.39180601530611653,0.3099290156784675,0.042956817895174026,0.7494667768478394,0.0001
7,0.15754220114154763,0.7907230177806065,0.6229869723320007,0.4075051248073578,0.40168651538437866,0.30756972636293517,0.017742151394486427,0.7617978453636169,0.0001
8,0.138254987558073,0.822115558981851,0.6740455031394958,0.38075166940689087,0.40303772728216225,0.2965701902156025,0.012066038325428963,0.7630136013031006,0.0001
9,0.11123825178828228,0.8618423128709242,0.7410875558853149,0.33875101804733276,0.41112858123942336,0.28915052939649666,-0.011673611588776112,0.7731723785400391,5e-05
10,0.09833212661096001,0.8800174827207834,0.7727294564247131,0.3181024491786957,0.4105976149496846,0.2879502719287517,-0.008819496259093285,0.772912859916687,5e-05
