pathway,pcc,r2,mae
Oxidative_Phosphorylation,0.8229388,0.31788433,0.4447275
MYC_Targets,0.79334307,0.44396412,0.33658633
mTOR_Signaling,0.6930728,0.22714913,0.45762762
G2M_Checkpoint,0.66961205,0.36893326,0.5116595
Fibrosis,0.66683084,0.33310503,0.45712218
ECM_Organization,0.6635914,0.4018501,0.4134342
E2F_Targets,0.6632059,0.43460995,0.38618842
tls,0.65368456,0.22698635,0.5711219
Unfolded_Protein_Response,0.65272784,0.33768833,0.44237924
Mitotic_Spindle,0.62583125,0.37285417,0.50059015
IL6_JAK_STAT3,0.608076,0.33756065,0.41600817
Angiogenesis,0.6004741,0.07913315,0.6856924
Wound_Healing,0.5837266,0.28964502,0.38754132
P53_Pathway,0.5676336,0.25406492,0.51399004
Glycolysis,0.56044567,0.23552662,0.46261066
DNA_Damage_Response,0.5530936,0.24521661,0.5109222
emt,0.5498078,0.24905592,0.43317834
mhc,0.5009063,0.22605985,0.22948469
Apoptosis,0.45062,0.15591294,0.45853946
tgfb,0.42213038,0.15014082,0.47678936
Inflammatory_Response,0.4155594,0.11009008,0.6282771
Coagulation,0.41084594,-0.11132383,0.615488
hypoxia,0.38837898,-0.005842924,0.5337012
Complement,0.38561794,-1.0453119,0.9086771
Reactive_Oxygen_Species,0.32731318,0.073747456,0.593588
TNF_Signaling,0.32223132,0.080849886,0.46747237
toxic,0.29099655,-0.11632025,0.6635395
icp,0.2518247,-0.25730622,0.8295915
Interferon_Alpha,0.19817697,-1.3979018,0.8198865
ifng,0.15890211,-0.28039777,0.5742231
