epoch,train_loss,train_pcc,is_best,val_loss,val_pcc,val_mae,val_r2
1,0.619532,0.628074,False,0.419236,0.758697,0.492978,0.571014
2,0.383722,0.785353,False,0.362352,0.794971,0.452175,0.629328
3,0.344796,0.809565,False,0.345597,0.8056,0.438765,0.646436
4,0.325603,0.821289,False,0.336875,0.811422,0.431696,0.655499
5,0.310547,0.830425,False,0.331222,0.814195,0.427481,0.66121
6,0.298699,0.837487,False,0.32708,0.816526,0.422833,0.665612
7,0.289994,0.84273,False,0.325611,0.817309,0.421126,0.666913
8,0.280834,0.848129,False,0.324108,0.818433,0.420894,0.668445
9,0.274723,0.851724,False,0.322615,0.819669,0.419536,0.670008
10,0.267513,0.855993,False,0.322392,0.819606,0.418791,0.670322
11,0.262468,0.858874,False,0.322513,0.819409,0.419056,0.670101
12,0.256424,0.862402,True,0.319827,0.820883,0.416041,0.672963
13,0.251604,0.865207,False,0.322391,0.819477,0.417878,0.670288
14,0.246431,0.868183,False,0.320479,0.820781,0.416833,0.672175
15,0.242143,0.870688,False,0.326502,0.817364,0.419845,0.666337
16,0.238666,0.872697,False,0.320775,0.820401,0.41647,0.671973
17,0.2338,0.875446,False,0.323466,0.820303,0.418443,0.669391
18,0.231175,0.876964,False,0.32381,0.818732,0.418344,0.66897
19,0.22563,0.880137,False,0.324703,0.818185,0.41868,0.667998
20,0.221396,0.882506,False,0.324776,0.818091,0.418395,0.668002
21,0.21902,0.883875,False,0.324452,0.81831,0.417492,0.668438
22,0.214986,0.886185,False,0.328485,0.816712,0.420908,0.66408
