epoch,train_loss,train_pcc,train_r2,train_mae,val_loss,val_pcc,val_r2,val_mae,lr
1,0.3122862009483862,0.484807624778484,0.2289717197418213,0.6346444487571716,0.346482070118694,0.3519521816468042,0.08914177864789963,0.6669636368751526,0.0001
2,0.28336661043858097,0.5567405876751121,0.30651339888572693,0.593291163444519,0.33995344921132714,0.37776116067670185,0.1083158329129219,0.6617518067359924,0.0001
3,0.2691683820672986,0.5892369578019904,0.34443995356559753,0.5732032060623169,0.3425415578366673,0.3918957745042587,0.10451479256153107,0.6606868505477905,0.0001
4,0.25820544919539146,0.6135255339776939,0.37401455640792847,0.5579397678375244,0.33935947008501116,0.3723501053963516,0.1085730567574501,0.6571622490882874,0.0001
5,0.2477606683338545,0.6356381840065338,0.40197744965553284,0.5435713529586792,0.3547260893659628,0.35931804191870526,0.060109540820121765,0.6744205355644226,0.0001
6,0.23780070632379705,0.6558829476181028,0.42832791805267334,0.529869556427002,0.34328084640247,0.3785967660336265,0.10004444420337677,0.6600674986839294,0.0001
7,0.22921135388089037,0.6729908306754548,0.45123276114463806,0.5181871652603149,0.3526385729932516,0.3555602892240129,0.07304641604423523,0.6753342151641846,0.0001
8,0.22078908869136266,0.6894531974957474,0.473839670419693,0.50725919008255,0.35762348594863086,0.3484513892310717,0.05839180201292038,0.6812790036201477,0.0001
9,0.2130776904050158,0.7038289108620036,0.4940186142921448,0.49669694900512695,0.3601470982287563,0.336531999490203,0.04828914627432823,0.6842975616455078,0.0001
10,0.20640193195589496,0.716144864737454,0.5116337537765503,0.4876357316970825,0.3567702444708729,0.3334140564196474,0.06264200061559677,0.68255215883255,0.0001
11,0.18915663161750929,0.7459916552702931,0.5552093982696533,0.4623015820980072,0.3612426453615537,0.33874407505006277,0.04841047152876854,0.6865175366401672,5e-05
12,0.1828749485172656,0.756604599652367,0.5711530447006226,0.4532875120639801,0.3623142774664076,0.33894864851575546,0.04541726037859917,0.6864199042320251,5e-05
13,0.1783212591963679,0.7643407516099909,0.5829980373382568,0.4470158517360687,0.36253433910017857,0.3343439404957323,0.04467283934354782,0.6872708201408386,5e-05
14,0.17494385884655514,0.7702559061959553,0.5921294093132019,0.44218888878822327,0.36525449774135077,0.3286680972211241,0.03364758566021919,0.6906701922416687,5e-05
15,0.17087360438337762,0.7770771704094437,0.6027259230613708,0.4368436634540558,0.3659847476780976,0.331113384809237,0.0333712100982666,0.6903893947601318,5e-05
16,0.16749049816723482,0.7828405833108883,0.6118081212043762,0.4322763681411743,0.37113327967694026,0.3310586851151908,0.019448209553956985,0.6978563666343689,5e-05
17,0.15858110931428526,0.7965812594278995,0.6334428191184998,0.4188450872898102,0.3667660640401804,0.3289817551618488,0.029676945880055428,0.6921043992042542,2.5e-05
18,0.15535175207422094,0.8019652225209096,0.6419992446899414,0.4143482744693756,0.3721017840835783,0.3235214432336473,0.014684480614960194,0.6989433169364929,2.5e-05
19,0.15319840042752308,0.8052578054626587,0.6473544239997864,0.41087600588798523,0.3707626606841096,0.32202103577967756,0.020493920892477036,0.6981998085975647,2.5e-05
20,0.15099889777188705,0.8088111125168067,0.6530827283859253,0.4080438017845154,0.3727115119974043,0.3239148694107785,0.012657326646149158,0.6996049880981445,2.5e-05
21,0.1490930985225217,0.8118474541249564,0.658049464225769,0.40515807271003723,0.37275412934086866,0.31945197597929514,0.013367843814194202,0.7000094056129456,2.5e-05
22,0.14716129808012465,0.8146993700293128,0.6627387404441833,0.40239372849464417,0.3753576324203818,0.32084704436165434,0.007025547791272402,0.7043623328208923,2.5e-05
23,0.14250879690296664,0.8218209947993528,0.674368143081665,0.3952743709087372,0.3736091965055286,0.32057418728816167,0.01030045561492443,0.7009903788566589,1.25e-05
24,0.14089871871213977,0.8242308850461673,0.6782940030097961,0.3929641544818878,0.3764462075945123,0.3209480947543837,0.002888278104364872,0.7048066258430481,1.25e-05
