pathway,pcc,mae_raw,r2_raw
Oxidative_Phosphorylation,0.78543067,702.5372314453125,0.6128963232040405
MYC_Targets,0.7729683,982.4015502929688,0.40738940238952637
ECM_Organization,0.7352796,1078.227783203125,0.532193660736084
Fibrosis,0.72061425,1077.3604736328125,0.5121350884437561
G2M_Checkpoint,0.67425746,1899.2598876953125,-0.1913468837738037
tls,0.66398686,1178.2266845703125,0.38636893033981323
mTOR_Signaling,0.6623656,735.033203125,0.39040130376815796
Angiogenesis,0.63701934,1218.05615234375,0.31508272886276245
Mitotic_Spindle,0.6354781,1540.5875244140625,-0.09960317611694336
E2F_Targets,0.63388824,1229.8409423828125,0.0011873841285705566
Wound_Healing,0.63357735,808.9291381835938,0.33636224269866943
Glycolysis,0.6073809,1029.8651123046875,-0.4058413505554199
Unfolded_Protein_Response,0.6025635,1008.6035766601562,0.1396912932395935
emt,0.59186715,869.8545532226562,0.17257839441299438
P53_Pathway,0.5617482,1205.826904296875,-0.2763092517852783
IL6_JAK_STAT3,0.55849034,1215.704833984375,-0.3262906074523926
DNA_Damage_Response,0.5041214,1078.323486328125,-0.16611754894256592
mhc,0.50322556,425.5612487792969,0.21835452318191528
Inflammatory_Response,0.4489064,1348.6907958984375,0.19196581840515137
tgfb,0.43903473,847.5146484375,0.08320540189743042
Coagulation,0.4286054,553.1261596679688,0.13246876001358032
Apoptosis,0.42524183,767.5715942382812,0.09038877487182617
toxic,0.38025707,1594.84912109375,0.1174626350402832
Complement,0.36128575,2058.585693359375,-1.6947944164276123
hypoxia,0.3555701,1143.814208984375,0.03963422775268555
icp,0.30584112,1726.5155029296875,-0.30772531032562256
TNF_Signaling,0.30415234,1355.9178466796875,-0.27495765686035156
Reactive_Oxygen_Species,0.2805908,855.5255737304688,-0.5280711650848389
Interferon_Alpha,0.21723214,1904.670166015625,-2.675105094909668
ifng,0.15060565,1845.35986328125,-0.37410426139831543
