,样本量,均值,中位数,标准差,最小值,最大值,范围,偏度,峰度,Shapiro-Wilk统计量,Shapiro-Wilk_p值,D'Agostino统计量,D'Agostino_p值,异常值数量,异常值比例(%),均值-中位数
tls,10578.0,-1441.98701914345,-1480.8233476773707,638.9847755097029,-2792.590753613594,5026.860080865463,7819.450834479057,2.4715595757699518,11.796831374214243,0.8122930156906866,2.1384011335961025e-60,5953.603687942835,0.0,413.0,3.9043297409718285,38.83632853392078
tgfb,10578.0,2670.7571227008343,2507.1672200579906,923.6762455440818,321.9398653867356,7167.78095617625,6845.841090789514,1.3348598474366098,2.4560899596025623,0.8853423922967341,1.5377638063623304e-51,2505.694723757773,0.0,872.0,8.243524295708074,163.58990264284375
emt,10578.0,724.2082905892171,436.0609621538124,1244.725215745605,-1565.6847622200155,6396.073059804832,7961.757822024848,1.4190493456159612,2.2552498382249206,0.8816072391831249,4.294338975216345e-52,2613.2543045389866,0.0,425.0,4.0177727358668935,288.1473284354047
hypoxia,10578.0,1106.164250833587,-186.75149776576475,2062.6233780848397,-1858.812577922436,8479.263977922423,10338.076555844858,0.9601831885853929,-0.16542705508052835,0.8408317403487559,2.3651859244845418e-57,1192.9081359473262,9.18945108318467e-260,47.0,0.4443183966723388,1292.9157485993517
mhc,10578.0,5863.868776093617,3454.690530031437,2868.3601653206165,1146.5632342397005,9066.0,7919.4367657603,0.000501108433917191,-1.9103627014951619,0.751452227837221,9.164698186749741e-66,38406.76136326925,0.0,0.0,0.0,2409.1782460621803
icp,10578.0,-3702.4873301424673,-3749.574092463864,542.9155134900757,-4664.043363124793,1709.7150845798003,6373.758447704594,3.218774353707883,15.470687802815188,0.6713690150820668,2.4482378854927024e-71,7410.683050148638,0.0,573.0,5.416903006239364,47.08676232139669
ifng,10578.0,-2993.6779463506464,-3336.7708264371613,1136.8601338030758,-4414.1273309058815,5633.828310321791,10047.955641227672,2.246386554238008,5.742393303852582,0.700875057175198,1.9588926673480915e-69,4846.344690030667,0.0,2011.0,19.01115522783135,343.0928800865149
toxic,10578.0,-1837.2497327019248,-1832.439699878627,520.6487659215658,-3089.855787266909,3521.61750340214,6611.473290669049,2.257731521940813,11.983352305950186,0.831101962554707,1.9414996093467443e-58,5610.524955383314,0.0,270.0,2.5524673851389674,-4.810032823297888
