mode,pathway,lambda,slope_k,intercept_z_b,intercept_raw_b,baseline_raw_r2,calibrated_raw_r2,delta_raw_r2,baseline_pcc,calibrated_pcc,delta_pcc,pcc_changed,pcc_sign_flipped,baseline_raw_mae,calibrated_raw_mae,delta_raw_mae,fallback_reason
Mode_A1_Pure_OLS_Unconstrained,tls,0.0,0.998616298121453,0.042932961950645776,67.88844365615415,0.38636895043839303,0.3897639928440316,0.003395042405638593,0.6639869497301302,0.6639869497301297,-4.440892098500626e-16,False,False,1178.2267359477232,1193.0782383556977,14.851502407974522,none
Mode_A1_Pure_OLS_Unconstrained,tgfb,0.0,1.039655056872022,0.023718604248312777,40.17246788824714,0.08320535300564746,0.1315732079025963,0.048367854896948836,0.43903472678560207,0.4390347267856021,5.551115123125783e-17,False,False,847.5146751116737,813.7522242777662,-33.76245083390745,none
Mode_A1_Pure_OLS_Unconstrained,emt,0.0,0.9618404807278496,-0.007362260139156017,-15.81827581539359,0.17257837188166636,0.22629898091207268,0.05372060903040632,0.5918671407677207,0.5918671407677207,0.0,False,False,869.8545799863355,836.9097850551058,-32.944794931229694,none
Mode_A1_Pure_OLS_Unconstrained,hypoxia,0.0,0.9861132014426517,-0.0646412493545796,-162.4289017803264,0.039634188679637194,0.029535629361951088,-0.010098559317686107,0.3555700616231422,0.35557006162314214,-5.551115123125783e-17,False,False,1143.814110590295,1149.5740757505278,5.759965160232696,none
Mode_A1_Pure_OLS_Unconstrained,mhc,0.0,0.9512065790610569,-0.016716583830363438,-36.925987382957395,0.2183545347561041,0.2450201775962899,0.0266656428401858,0.5032254594953265,0.5032254594953265,0.0,False,False,425.56124414744147,391.29063909380056,-34.27060505364091,none
Mode_A1_Pure_OLS_Unconstrained,icp,0.0,0.8933074691433467,-0.032686808947624546,-49.58152636924479,-0.307725356548999,-0.29469363846158303,0.013031718087415989,0.3058410761141342,0.3058410761141343,1.1102230246251565e-16,False,False,1726.5154009248738,1717.228874749823,-9.286526175050767,none
Mode_A1_Pure_OLS_Unconstrained,ifng,0.0,0.9145788670875151,0.010314953500865217,29.94553877537748,-0.3741041801445575,-0.3432254355242088,0.030878744620348675,0.15060565879049492,0.15060565879049503,1.1102230246251565e-16,False,False,1845.3599149908255,1823.665073220464,-21.694841770361563,none
Mode_A1_Pure_OLS_Unconstrained,toxic,0.0,1.0438376440795756,0.002758011486976884,5.28992759223846,0.11746255396386518,0.1053746436070424,-0.012087910356822773,0.3802570834244679,0.38025708342446785,-5.551115123125783e-17,False,False,1594.8491520268567,1595.5344072422988,0.6852552154421119,none
Mode_A1_Pure_OLS_Unconstrained,Glycolysis,0.0,0.9960395363916067,-0.00345661213929803,-6.0071857119418475,-0.40584123842597597,-0.4236068815187888,-0.01776564309281281,0.6073809749322644,0.6073809749322643,-1.1102230246251565e-16,False,False,1029.8651051785666,1038.118310198593,8.253205020026371,none
Mode_A1_Pure_OLS_Unconstrained,Inflammatory_Response,0.0,1.0016127800768464,0.024085237979500566,46.03794087256336,0.19196587971703183,0.1913535512171597,-0.000612328499872139,0.44890641590390523,0.44890641590390495,-2.7755575615628914e-16,False,False,1348.6907257231373,1353.811864455494,5.121138732356712,none
Mode_A1_Pure_OLS_Unconstrained,IL6_JAK_STAT3,0.0,0.9835388587983783,0.02189211720043954,43.06646786933439,-0.32629065674481916,-0.2981026085726395,0.02818804817217968,0.5584903307397227,0.5584903307397228,1.1102230246251565e-16,False,False,1215.704886519293,1199.8185159303885,-15.886370588904583,none
Mode_A1_Pure_OLS_Unconstrained,P53_Pathway,0.0,1.020399565288137,-0.01782062765850005,-29.884183363431973,-0.2763090352977946,-0.2778073506349681,-0.0014983153371734836,0.5617481612020473,0.5617481612020474,1.1102230246251565e-16,False,False,1205.826915503647,1205.1666696013467,-0.6602459023001757,none
Mode_A1_Pure_OLS_Unconstrained,DNA_Damage_Response,0.0,1.0059190960746178,0.03136234533340768,46.118434501304804,-0.16611754532726208,-0.1112434665943598,0.05487407873290229,0.5041214406174792,0.5041214406174793,1.1102230246251565e-16,False,False,1078.323425727204,1048.5075928053004,-29.81583292190362,none
Mode_A1_Pure_OLS_Unconstrained,Complement,0.0,0.9834265447212476,-0.033795748375995235,-59.06359273733686,-1.694794006752065,-1.8145356518831948,-0.11974164513112973,0.36128576791316236,0.3612857679131625,1.6653345369377348e-16,False,False,2058.585426103899,2111.85212240441,53.26669630051083,none
Mode_A1_Pure_OLS_Unconstrained,Coagulation,0.0,1.0007390150582804,-0.04729166763602644,-47.018318603484474,0.1324687726026994,0.12350566688436271,-0.008963105718336695,0.4286053226972293,0.4286053226972294,1.1102230246251565e-16,False,False,553.1261609417287,557.3589707207339,4.2328097790051515,none
Mode_A1_Pure_OLS_Unconstrained,Oxidative_Phosphorylation,0.0,0.9790190348073305,0.015069898280658817,36.65231491641952,0.6128963380644099,0.6113805647162156,-0.0015157733481943048,0.7854307111791455,0.7854307111791452,-3.3306690738754696e-16,False,False,702.5372076749677,702.298694585207,-0.23851308976065866,none
Mode_A1_Pure_OLS_Unconstrained,Reactive_Oxygen_Species,0.0,0.9573405903549125,0.015026657161911414,17.03324105348926,-0.5280710591823379,-0.554512879823245,-0.026441820640907165,0.28059079569286816,0.28059079569286827,1.1102230246251565e-16,False,False,855.5255749528155,866.7611796436375,11.235604690822015,none
Mode_A1_Pure_OLS_Unconstrained,Wound_Healing,0.0,1.0194458808105578,-0.0005397763266441254,-1.0799454245598283,0.336362170261597,0.34022110677176487,0.0038589365101678874,0.6335773292191307,0.6335773292191307,0.0,False,False,808.9291361452321,805.4103253390642,-3.518810806167835,none
