pathway,pcc,mae_raw,r2_raw
tls,0.667361380923096,1171.6560493297136,0.40258717936276456
tgfb,0.4270771665275182,854.0834961932372,0.0743260757477976
emt,0.5727580579575188,901.7918408604232,0.11279988716563649
hypoxia,0.33848061350399067,1202.7499764501686,-0.05000001168447321
mhc,0.44920641771687325,432.19381787502556,0.16873318071419918
icp,0.2987624003448484,1728.1320714263634,-0.3159769362911862
ifng,0.11825042829618998,1927.6653848046406,-0.48287810657556296
toxic,0.36363764023371165,1608.5179577209171,0.09181020509363902
Glycolysis,0.6050897951928673,1055.8160429679729,-0.460672682840205
Inflammatory_Response,0.42819108034165965,1375.7316048364537,0.17156063700442947
IL6_JAK_STAT3,0.51440400353932,1279.510949600859,-0.45139617090503315
P53_Pathway,0.5361099041507437,1250.8624529913616,-0.36764371057755674
DNA_Damage_Response,0.46996750966176787,1104.864610595367,-0.23032276697135967
Complement,0.36795586411220976,1901.1623528320874,-1.3559275295156916
Coagulation,0.4189690063745492,568.5677178551614,0.09098601627503933
Oxidative_Phosphorylation,0.7655095229981108,732.9080300525732,0.5842468626942207
Reactive_Oxygen_Species,0.2160163477834804,866.2710426944541,-0.576628073517613
Wound_Healing,0.6156909503738051,827.720156866054,0.3069758409291763
Fibrosis,0.7015918091146368,1102.8941135079644,0.4790846290816001
MYC_Targets,0.7519544111120109,1101.0585196499735,0.3166668904585157
E2F_Targets,0.5830525215355726,1277.765163698248,-0.07866621007697083
G2M_Checkpoint,0.6413720025491502,2080.4890144550054,-0.3822711514353452
Mitotic_Spindle,0.6051562864871408,1621.6107109450459,-0.19957962501376758
Unfolded_Protein_Response,0.5794172483214878,1080.3140458664104,0.04193717856478296
mTOR_Signaling,0.6321808298943495,761.2042496035141,0.3483604782595756
Interferon_Alpha,0.17361101291816514,1888.7313621317223,-2.58975469793702
Angiogenesis,0.6160719757921296,1305.2009653484681,0.23296964134620735
Apoptosis,0.4185304504177753,803.9234978638357,0.025682516112125353
TNF_Signaling,0.32219464166889683,1354.3621170905928,-0.2669764741733527
ECM_Organization,0.719291215705768,1134.779188087895,0.48162595545830444
