pathway,pcc,mae_raw,r2_raw
Oxidative_Phosphorylation,0.70837104,1039.850341796875,0.3245292901992798
G2M_Checkpoint,0.6695639,2152.563720703125,-0.4732285737991333
Fibrosis,0.6627809,1403.430908203125,0.23204004764556885
tls,0.6574761,1320.165771484375,0.3475329875946045
ECM_Organization,0.65005803,1342.8492431640625,0.34714895486831665
MYC_Targets,0.6460815,1845.34716796875,-0.5872154235839844
E2F_Targets,0.6403959,1383.576416015625,-0.2093425989151001
Mitotic_Spindle,0.6305896,1657.352294921875,-0.24965763092041016
mTOR_Signaling,0.59054524,995.2100219726562,-0.0009658336639404297
Angiogenesis,0.5676734,1250.3919677734375,0.26593029499053955
Wound_Healing,0.55252385,1020.7496337890625,-0.01163625717163086
emt,0.52770907,851.2552490234375,0.21377867460250854
Glycolysis,0.5187588,1417.7801513671875,-1.3682668209075928
DNA_Damage_Response,0.51358855,1181.627197265625,-0.35209810733795166
Unfolded_Protein_Response,0.48057824,1376.0955810546875,-0.46373891830444336
P53_Pathway,0.46994072,1663.9515380859375,-1.1800470352172852
IL6_JAK_STAT3,0.44650885,1536.1673583984375,-0.9680969715118408
Coagulation,0.390704,575.6533813476562,0.08761429786682129
Apoptosis,0.38599953,879.3633422851562,-0.12362420558929443
tgfb,0.3776946,1091.4237060546875,-0.33773159980773926
mhc,0.37467042,489.20751953125,0.07851964235305786
toxic,0.36598635,1663.579833984375,0.1303921937942505
Inflammatory_Response,0.34273925,1436.7646484375,0.018725812435150146
hypoxia,0.32681277,1204.2386474609375,-0.06357920169830322
Complement,0.2953435,2426.753662109375,-2.5611157417297363
icp,0.28126535,1657.6580810546875,-0.1955716609954834
Reactive_Oxygen_Species,0.27417225,1008.4890747070312,-0.9711117744445801
Interferon_Alpha,0.1613828,2040.78369140625,-3.115351676940918
TNF_Signaling,0.15190268,1712.2274169921875,-0.8791677951812744
ifng,0.106692664,1924.7789306640625,-0.5096268653869629
