epoch,train_loss,train_pcc,is_best,val_loss,val_pcc,val_mae,val_r2
1,0.899845,0.501239,False,0.614047,0.640063,0.611534,0.399197
2,0.810684,0.570102,False,0.602208,0.650731,0.606112,0.410838
3,0.783968,0.589297,False,0.604674,0.641985,0.601389,0.408232
4,0.763919,0.603312,False,0.620356,0.631413,0.610313,0.392888
5,0.747522,0.614516,False,0.613624,0.644344,0.608057,0.399549
6,0.731885,0.625043,True,0.596508,0.64731,0.593416,0.416289
7,0.717729,0.634433,False,0.636209,0.624813,0.62035,0.377446
8,0.704205,0.64329,False,0.632866,0.626412,0.615818,0.380586
9,0.692146,0.651062,False,0.627314,0.629253,0.608367,0.386066
10,0.679553,0.659073,False,0.634168,0.624906,0.613072,0.379324
11,0.666563,0.667276,False,0.630387,0.625289,0.609976,0.38285
12,0.656548,0.673464,False,0.634478,0.621263,0.608376,0.37905
13,0.645559,0.680286,False,0.653088,0.61742,0.62504,0.360689
14,0.633972,0.687361,False,0.650967,0.617804,0.621611,0.362712
15,0.622678,0.694189,False,0.650404,0.615412,0.614653,0.363428
16,0.613301,0.699778,False,0.666085,0.608003,0.625092,0.347961
