epoch,train_loss,train_mae,train_r2,train_pcc,val_loss,val_mae,val_r2,val_pcc,lr
1,0.33267650789923914,0.6548740267753601,0.13968916237354279,0.3870137422065177,0.2709757685661316,0.5629494190216064,0.1696169674396515,0.5545604289870472,0.0001
2,0.2786684044327747,0.5728999972343445,0.29089686274528503,0.542994783642631,0.2657913863658905,0.5478401780128479,0.19400621950626373,0.5628484305897511,0.0001
3,0.2610727432080908,0.547589898109436,0.3398689925670624,0.5856759787518532,0.2637907862663269,0.5435526371002197,0.2007838934659958,0.5649811747904755,0.0001
4,0.24820594108804353,0.5292350053787231,0.3763059079647064,0.6154198482614506,0.258725643157959,0.5358257293701172,0.2176653891801834,0.577341185529943,0.0001
5,0.23660019151782344,0.5128690600395203,0.40803977847099304,0.6413122209397416,0.25901514291763306,0.5368984341621399,0.21122880280017853,0.5734233416284091,0.0001
6,0.22667019322817267,0.4991287291049957,0.43553268909454346,0.6620061210604362,0.26377183198928833,0.5402425527572632,0.19579124450683594,0.5645994260313697,0.0001
7,0.21674943933637633,0.4851795732975006,0.46217742562294006,0.6823607598042425,0.270662397146225,0.5504481196403503,0.1741355061531067,0.5459026612796473,0.0001
8,0.20783891076428088,0.473099023103714,0.48532041907310486,0.6998188062852994,0.2649843692779541,0.5496791005134583,0.16748489439487457,0.5573736399671101,0.0001
9,0.19929986804656466,0.4612015187740326,0.5094178915023804,0.7168852518183787,0.2635452449321747,0.5434767007827759,0.17815901339054108,0.5642532396764594,0.0001
10,0.18962247711406605,0.4470609724521637,0.5345498323440552,0.7346537796205543,0.27073749899864197,0.5559282302856445,0.1312064677476883,0.5432172163303266,0.0001
11,0.17835702290653374,0.43115460872650146,0.5644978880882263,0.7558703699442412,0.26733213663101196,0.5499829649925232,0.15703843533992767,0.5522559167358111,5e-05
12,0.17296570507183032,0.422868549823761,0.5780567526817322,0.7650564620475362,0.27112436294555664,0.5544880628585815,0.14115610718727112,0.5440558342597396,5e-05
13,0.16835133430651025,0.4171295166015625,0.5900505781173706,0.7729687869349122,0.27113646268844604,0.5519218444824219,0.13569340109825134,0.546459433928095,5e-05
14,0.1633104580385152,0.40932026505470276,0.6034828424453735,0.7818043574122273,0.27000370621681213,0.5506312251091003,0.14585702121257782,0.5467267634071716,5e-05
15,0.15882674669573593,0.40290069580078125,0.6149274706840515,0.7893368130078112,0.27214929461479187,0.5539764165878296,0.1312812715768814,0.5417359559328662,5e-05
16,0.15392943280948743,0.3955060839653015,0.6277093291282654,0.7976176359972104,0.2742926776409149,0.5576601028442383,0.13005709648132324,0.5381850771058186,5e-05
17,0.14820142267250852,0.38771960139274597,0.6420596241950989,0.8068615487623277,0.27347898483276367,0.5563055276870728,0.13352632522583008,0.5388990110151096,2.5e-05
18,0.14586404560650984,0.3840070068836212,0.6484596133232117,0.8109139033671923,0.2782747149467468,0.5629479289054871,0.12500029802322388,0.526172509820013,2.5e-05
19,0.14399035602942548,0.3811056911945343,0.6533249020576477,0.8137241690886471,0.27737870812416077,0.562041163444519,0.12159045785665512,0.529486374056499,2.5e-05
