epoch,train_loss,val_loss,val_pcc,stage,lr
1,1.0485816357089335,0.9801823496818542,0.16074997213432585,stage1,0.0001
2,0.9788929651198376,0.9425025582313538,0.25433522298770883,stage1,0.0001
3,0.9276876215181182,0.9165869951248169,0.29447950603862716,stage1,0.0001
4,0.8851138553194763,0.9036976099014282,0.32315165404259194,stage1,0.0001
5,0.853026886322888,0.9033777713775635,0.33478323076491645,stage1,0.0001
6,0.83564427333673,0.9124180674552917,0.34787947248414014,stage1,0.0001
7,0.835046771352947,0.9181230068206787,0.3512395393592128,stage1,0.0001
8,0.8282565986300189,0.9051370024681091,0.35575732733218046,stage1,0.0001
9,0.818877073011758,0.9108878374099731,0.3593278149813186,stage1,0.0001
10,0.812620104527941,0.9041392803192139,0.3639465532204787,stage1,0.0001
11,0.8044537648643068,0.8837020993232727,0.36493561111012013,stage2,2e-05
12,0.7837666417517869,0.900758683681488,0.3680577921753486,stage2,2e-05
13,0.7896546833865083,0.8860063552856445,0.37236327175293266,stage2,2e-05
14,0.7712321876275889,0.8769140243530273,0.37614829016567874,stage2,2e-05
15,0.7570874949680712,0.8837801218032837,0.37870163703509374,stage2,2e-05
16,0.7572133097265933,0.8903460502624512,0.3806936756678908,stage2,2e-05
17,0.7566101448977469,0.8862044811248779,0.3825312867157177,stage2,2e-05
18,0.7478283504951769,0.8787643313407898,0.38389396320812186,stage2,2e-05
19,0.7379601079123423,0.8770437240600586,0.3847409473314644,stage2,2e-05
20,0.7342805292938565,0.880238950252533,0.3854385269988375,stage2,2e-05
21,0.7339728440564973,0.8826025724411011,0.38626280944480573,stage2,2e-05
22,0.7307847557095206,0.8826221823692322,0.3871258881625759,stage2,2e-05
23,0.724276637760764,0.8812651038169861,0.3877429778632645,stage2,2e-05
24,0.7193170703200593,0.8795434832572937,0.3882224812402436,stage2,2e-05
25,0.7162692075668425,0.8776594996452332,0.389105788195826,stage2,2e-05
26,0.7155308321231926,0.8757356405258179,0.39063742810126656,stage2,2e-05
27,0.7118145917713911,0.8744263648986816,0.39263422187962294,stage2,2e-05
28,0.7080795217023191,0.8738775849342346,0.3944541793880843,stage2,2e-05
29,0.7044947909948516,0.8734665513038635,0.39581651505840987,stage2,2e-05
30,0.7022066504106825,0.8725305199623108,0.3968749901004674,stage2,2e-05
