epoch,train_loss,train_pcc,is_best,val_loss,val_pcc,val_mae,val_r2
1,0.429634,0.755335,False,0.377012,0.806714,0.449273,0.645052
2,0.369766,0.793882,False,0.364525,0.813743,0.4403,0.656813
3,0.35343,0.804101,False,0.360124,0.816649,0.436531,0.66102
4,0.342356,0.810959,False,0.352593,0.820288,0.430243,0.66811
5,0.332886,0.816775,False,0.352829,0.820215,0.429786,0.667837
6,0.324803,0.821711,False,0.351162,0.821157,0.430447,0.669333
7,0.317742,0.825997,False,0.351537,0.821166,0.431645,0.668979
8,0.311411,0.829821,False,0.349702,0.822223,0.428207,0.67067
9,0.305239,0.833531,False,0.351832,0.821406,0.431356,0.668701
10,0.299199,0.83715,False,0.349583,0.822239,0.427534,0.670745
11,0.294312,0.840064,True,0.348771,0.822454,0.426896,0.671537
12,0.289009,0.843215,False,0.349809,0.821898,0.426869,0.670595
13,0.284033,0.846161,False,0.352614,0.820755,0.43081,0.667926
14,0.279118,0.849063,False,0.351757,0.820796,0.428709,0.668796
15,0.27471,0.851653,False,0.352154,0.82072,0.428928,0.668375
16,0.270224,0.854284,False,0.353574,0.819743,0.429736,0.667054
17,0.266302,0.856575,False,0.353918,0.819658,0.431515,0.666672
18,0.261987,0.859094,False,0.354367,0.819428,0.430178,0.666279
19,0.257889,0.861473,False,0.355794,0.818479,0.431508,0.664966
20,0.254452,0.863465,False,0.355745,0.818772,0.43095,0.664914
21,0.250377,0.865822,False,0.355738,0.818693,0.430865,0.664986
