epoch,train_loss,train_pcc,is_best,val_loss,val_pcc,val_mae,val_r2
1,0.650388,0.598334,False,0.440547,0.746584,0.506033,0.549216
2,0.442991,0.744678,False,0.386807,0.781675,0.469961,0.604156
3,0.407379,0.768253,False,0.367019,0.793075,0.454771,0.624624
4,0.387705,0.780939,False,0.364865,0.79614,0.453443,0.626945
5,0.372549,0.790766,False,0.354814,0.800696,0.446329,0.637245
6,0.36077,0.798132,False,0.351567,0.802768,0.441818,0.640564
7,0.350345,0.804867,False,0.346396,0.804955,0.43759,0.645768
8,0.340425,0.810877,False,0.351109,0.803402,0.442052,0.640785
9,0.334045,0.814929,True,0.343084,0.807458,0.435045,0.649078
10,0.324582,0.820773,False,0.344937,0.805782,0.437129,0.647284
11,0.318618,0.824344,False,0.348978,0.803473,0.439135,0.642847
12,0.312461,0.828115,False,0.34464,0.805685,0.435952,0.647674
13,0.306853,0.831532,False,0.352482,0.801209,0.441864,0.639471
14,0.300501,0.835455,False,0.345575,0.805416,0.436919,0.646344
15,0.294964,0.838775,False,0.349432,0.802926,0.437606,0.642734
16,0.291193,0.84102,False,0.348123,0.803376,0.438247,0.643906
17,0.28568,0.844325,False,0.347194,0.805175,0.436279,0.645102
18,0.281365,0.846905,False,0.34525,0.805262,0.435975,0.646723
19,0.275692,0.850246,False,0.351769,0.800812,0.440104,0.640273
