epoch,train_loss,train_mae,train_mape,train_r2,train_pcc,val_loss,val_mae,val_mape,val_r2,val_pcc,lr
1,0.8373653613604032,0.6168763637542725,151.6833553314209,0.15905769914388657,0.3620982626991932,0.6566199660301208,0.5238427519798279,223.6877555847168,0.2391967996954918,0.4700534199639307,0.001
2,0.7641937258916024,0.5546538792550564,151.53611660003662,0.23518359661102295,0.45490989104906465,0.6314871162176132,0.5344188809394836,213.4212236404419,0.2664029598236084,0.5027346623920341,0.001
3,0.7421883054268665,0.5403691604733467,144.10665702819824,0.2589556351304054,0.48001998774577764,0.6315895318984985,0.5235457085072994,199.54611492156982,0.26218632608652115,0.49965999937487215,0.001
4,0.7279064181523446,0.5334366299211979,143.12669849395752,0.2731960564851761,0.4948193098165947,0.6129656359553337,0.5101387575268745,207.14923620224,0.2797885164618492,0.5065947807223394,0.001
5,0.7127887667753757,0.5264507383108139,139.21167850494385,0.2884974330663681,0.5097969929568481,0.6319882720708847,0.5143562071025372,187.87218236923218,0.26218274235725403,0.5083299464820948,0.001
6,0.6968931066684234,0.5156918801367283,137.34543704986572,0.30377356708049774,0.5255286473352863,0.6021030321717262,0.5190011821687222,202.41330003738403,0.2903200834989548,0.5276549262876251,0.001
7,0.6826827296843896,0.5110121257603168,141.88071870803833,0.316779188811779,0.5390721441625668,0.6076307371258736,0.5027096942067146,209.2467164993286,0.2860938534140587,0.5232845773300325,0.001
8,0.6669116004919394,0.50362653657794,136.83975076675415,0.3311784565448761,0.5531236018782268,0.6023290678858757,0.49775077775120735,183.28749799728394,0.2887243181467056,0.5383397682142556,0.001
9,0.6547974195235815,0.49480390921235085,138.51775074005127,0.3471820056438446,0.5688965133896764,0.5837354436516762,0.5002394914627075,201.93341302871704,0.312792606651783,0.5453280106059284,0.001
10,0.6331547498703003,0.4921223372220993,144.77182722091675,0.3654538318514824,0.586042069613007,0.5852412730455399,0.4755158834159374,172.58116674423218,0.322769396007061,0.5566978093952839,0.001
11,0.6195783920777149,0.4856501892209053,138.0077543258667,0.37937216460704803,0.5985184225328594,0.558593399822712,0.47216232120990753,183.00797986984253,0.328471876680851,0.5615713760732709,0.001
12,0.5965580328916892,0.4724668599665165,135.15254974365234,0.4018828868865967,0.6177985660537451,0.5714349001646042,0.4759111814200878,169.91301441192627,0.3234429433941841,0.5570965522985065,0.001
13,0.5810482181035556,0.4686206057667732,144.11451196670532,0.41994111984968185,0.6335434866188474,0.5662141591310501,0.4805273413658142,212.1627926826477,0.3229251429438591,0.5564736695000606,0.001
14,0.5737677270021194,0.46433214470744133,135.7309012413025,0.42692282795906067,0.6398067047706741,0.5427678003907204,0.46767159551382065,224.26676177978516,0.3423726260662079,0.5680039230574052,0.001
15,0.5536939646953192,0.45687340199947357,136.85192394256592,0.445655956864357,0.6543628131492335,0.5594755411148071,0.4692847654223442,194.56521224975586,0.3334117457270622,0.5676355746815915,0.001
16,0.5421614891443497,0.45145244151353836,133.35987186431885,0.4553937762975693,0.6621572656992886,0.5348428934812546,0.4596659541130066,169.47647380828857,0.3477825000882149,0.5777326287229572,0.001
