epoch,train_loss,train_pcc,is_best,val_loss,val_pcc,val_mae,val_r2
1,0.230514,0.698102,False,0.194206,0.766833,0.48725,0.587236
2,0.184842,0.772017,False,0.186241,0.779001,0.472039,0.604268
3,0.176684,0.784127,False,0.182437,0.783603,0.46705,0.613488
4,0.170889,0.792682,False,0.17951,0.787127,0.461587,0.619415
5,0.167083,0.798209,False,0.178489,0.7892,0.461629,0.622468
6,0.16357,0.803315,False,0.176206,0.791668,0.455018,0.626167
7,0.160918,0.807078,False,0.175343,0.793023,0.453937,0.628709
8,0.158071,0.811178,False,0.175784,0.792451,0.456035,0.627798
9,0.155709,0.814457,False,0.174255,0.794651,0.452893,0.631172
10,0.153669,0.817325,False,0.173972,0.795286,0.452327,0.632112
11,0.15167,0.820092,False,0.173793,0.795685,0.45314,0.632836
12,0.149667,0.82298,False,0.173261,0.796354,0.451574,0.633779
13,0.147574,0.825881,False,0.173142,0.796533,0.451503,0.634216
14,0.145613,0.828586,False,0.17276,0.796922,0.451132,0.634706
15,0.144043,0.83067,True,0.172312,0.797509,0.450355,0.635758
16,0.142364,0.833045,False,0.172341,0.797481,0.450437,0.635635
17,0.140485,0.835662,False,0.17232,0.797425,0.449248,0.635328
18,0.138804,0.837894,False,0.172827,0.797135,0.451013,0.6349
19,0.137037,0.840353,False,0.173304,0.796311,0.452359,0.6338
20,0.135015,0.843149,False,0.172697,0.797507,0.451476,0.635127
21,0.133706,0.844809,False,0.172774,0.797973,0.451075,0.635159
22,0.131877,0.847358,False,0.17249,0.797725,0.450749,0.635571
23,0.130214,0.849578,False,0.173251,0.795931,0.451467,0.633114
24,0.128531,0.851879,False,0.173371,0.795794,0.451247,0.632572
25,0.127075,0.853707,False,0.173627,0.796068,0.452918,0.632549
