epoch,train_loss,train_pcc,train_r2,train_mae,val_loss,val_pcc,val_r2,val_mae,lr
1,0.24554734876991274,0.6398122842976512,0.407313734292984,0.5389701128005981,0.3291885416274241,0.4117650549307129,0.13979662954807281,0.6431540846824646,0.0001
2,0.22392029083091175,0.6825220651658771,0.4642525315284729,0.509273886680603,0.3351608924160794,0.40202363140313935,0.1262686401605606,0.6508201360702515,0.0001
3,0.1992049461776531,0.7280005970775125,0.5287379622459412,0.4755175709724426,0.33965314353926707,0.3865418900386547,0.10770051926374435,0.655966579914093,0.0001
4,0.1742028316524035,0.7708762834441293,0.5931758284568787,0.44105565547943115,0.349761172124446,0.3731996867979683,0.08633086085319519,0.6707322597503662,0.0001
5,0.14957651101151287,0.8107574766029323,0.6564843654632568,0.4068930745124817,0.35432512623217594,0.35052393684026883,0.07183312624692917,0.6781948208808899,0.0001
6,0.1277577331552101,0.8441637139467205,0.7120190858840942,0.37524721026420593,0.3580656439795557,0.3435799712028698,0.06378224492073059,0.6831410527229309,0.0001
7,0.11006124869244284,0.8697316941728475,0.7561008334159851,0.34884560108184814,0.36366576629843417,0.3344014180878404,0.04700719565153122,0.6900323033332825,0.0001
8,0.08668315759627922,0.9008601541909127,0.8113281726837158,0.3092740774154663,0.36458397810742005,0.341661727963329,0.045697472989559174,0.6917251348495483,5e-05
9,0.07300085240857204,0.9180968400507123,0.8426828384399414,0.2842911183834076,0.3684897066846406,0.3300811975894216,0.0381636843085289,0.6984214186668396,5e-05
10,0.06530554862996901,0.9276539690082944,0.8603929877281189,0.26991721987724304,0.37468946179876667,0.3320692677829615,0.019283641129732132,0.7056102156639099,5e-05
11,0.0602584877050503,0.9341858213963883,0.872621476650238,0.26071545481681824,0.37383579601675776,0.3308836485724453,0.022900693118572235,0.7052866220474243,5e-05
12,0.05586512347631257,0.9396132005615959,0.8828213810920715,0.2518214285373688,0.3712685029722203,0.3314770472774751,0.028076646849513054,0.7012640833854675,5e-05
13,0.05211138297883115,0.944237537564311,0.8915541172027588,0.24429823458194733,0.3735362838329344,0.3260197805808697,0.024418294429779053,0.7053186893463135,5e-05
14,0.046145004024529535,0.9510672951525658,0.9045150279998779,0.23051053285598755,0.37371909611642695,0.32459059488221725,0.022804807871580124,0.7048181891441345,2.5e-05
15,0.041489021804927036,0.9562282600186665,0.9143515825271606,0.21906733512878418,0.3753436011558648,0.31948672145176343,0.018061840906739235,0.7075942754745483,2.5e-05
16,0.03940270998107557,0.958588205915367,0.9188786745071411,0.2137453556060791,0.37412163966568623,0.3232481837844995,0.0209214985370636,0.705089807510376,2.5e-05
17,0.037991573376569304,0.9602148235792911,0.9219983220100403,0.2102506011724472,0.3770025288205587,0.3222324721849311,0.012834940105676651,0.7087233662605286,2.5e-05
18,0.03657219068437056,0.9618822871405289,0.9252100586891174,0.20657625794410706,0.3791955144055146,0.31579883732585684,0.00808690581470728,0.7124828696250916,2.5e-05
19,0.035677549454293946,0.9628732892616665,0.9271172881126404,0.20420919358730316,0.37561374331373726,0.3205409173185262,0.016970479860901833,0.7068783044815063,2.5e-05
20,0.03349962606409708,0.9652643555027327,0.9317288994789124,0.19829735159873962,0.37553074811138004,0.32072723392560554,0.017518600448966026,0.7069827914237976,1.25e-05
21,0.03199274408740897,0.9668812456110868,0.934852659702301,0.19405385851860046,0.3770640220009001,0.3200131498170958,0.013342833146452904,0.7090913653373718,1.25e-05
