analysis_id,analysis_class,evidence_status,contrast,task,split,candidate_arm,reference_arm,n_paired_fits,mean_per_fit_auc_difference,median_per_fit_auc_difference,min_per_fit_auc_difference,max_per_fit_auc_difference,pooled_auc_difference
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,ORD_MINUS_ABS,pCR,test,ORD,ABS,20,0.023181818181818165,0.013636363636363613,-0.004545454545454519,0.15909090909090906,0.015272727272727327
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,ORD_MINUS_ABS,MPR,test,ORD,ABS,20,0.003958333333333347,0.004166666666666652,-0.025000000000000022,0.029166666666666785,0.0032604166666666545
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,SPATIAL_IDENTITY_MINUS_SPATIAL_SHUFFLE,pCR,test,SPATIAL_IDENTITY,SPATIAL_SHUFFLE,20,0.0029545454545454597,0.0,-0.018181818181818188,0.045454545454545525,0.003852272727272732
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,SPATIAL_IDENTITY_MINUS_SPATIAL_SHUFFLE,MPR,test,SPATIAL_IDENTITY,SPATIAL_SHUFFLE,20,-0.0006250000000000034,0.0,-0.008333333333333415,0.004166666666666652,-0.00020833333333325488
