analysis_id,analysis_class,evidence_status,arm,split,patient,pathway,n,hh_count,ll_count,hl_count,lh_count,neutral_count,isolated_count,hotspot_definition,computation_status,reason
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,mhc,145,32,48,33,32,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,tgfb,145,53,31,30,31,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,tls,145,56,38,20,31,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,HYZ15040,toxic,145,63,16,33,33,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,Angiogenesis,203,60,51,46,46,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,Apoptosis,203,55,51,46,51,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,Coagulation,203,53,63,46,41,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,Complement,203,65,57,45,36,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,DNA_Damage_Response,203,53,53,51,46,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,E2F_Targets,203,71,62,33,37,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,ECM_Organization,203,54,64,45,40,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,Fibrosis,203,56,55,42,50,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,G2M_Checkpoint,203,60,54,46,43,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,Glycolysis,203,54,54,49,46,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,IL6_JAK_STAT3,203,52,48,54,49,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,Inflammatory_Response,203,50,60,50,43,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,JFX,Interferon_Alpha,203,60,67,39,37,0,0,local_sign_quadrant_descriptive_no_significance_test,computed_descriptive,
