analysis_id,analysis_class,evidence_status,arm,split,pathway,aggregation,n_patients,n_spots,pcc,ccc,z_rmse,raw_r2,spearman,pcc_minus_ccc,pcc_squared_minus_raw_r2,z_mse,bias_squared,scale_mismatch_squared,decorrelation_component,decomposition_sum,decomposition_residual
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,Angiogenesis,patient_balanced_mean,6,1078,0.7378607417844267,0.7155390322275306,0.5971887770714653,0.5496349598700044,0.6523114777703757,0.022321709556896236,0.013111416375756585,0.36579488356702156,0.0037149384143346036,0.03811716570984954,0.323962779442837,0.3657948835670211,4.163336342344337e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,Apoptosis,patient_balanced_mean,6,1078,0.5057933427591839,0.45080349465672676,0.5973949768798318,0.20980970265955312,0.42468630294039805,0.05498984810245703,0.0675198402632048,0.36043367520706077,0.002895802997937113,0.06835130898274354,0.2891865632263801,0.36043367520706066,6.47630097698008e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,Coagulation,patient_balanced_mean,6,1078,0.6786877473096901,0.6318483706648416,0.6813390894372606,0.45615667086803907,0.6518950454884699,0.04683937664484844,0.017793467853123246,0.47927174922295235,0.01782050988325944,0.08156163110337346,0.37988960823631907,0.47927174922295196,3.608224830031759e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,Complement,patient_balanced_mean,6,1078,0.7203266920332517,0.6706598331617082,0.6426656307828792,0.5153180126541311,0.6834106602072354,0.049666858871543686,0.013211785758938019,0.4288351577990767,0.012062012952715246,0.07256543321114901,0.34420771163521224,0.4288351577990765,1.7115938296304497e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,DNA_Damage_Response,patient_balanced_mean,6,1078,0.5404851514485459,0.47624634540433525,0.6795117768418598,0.31451599207551584,0.5080966313362776,0.0642388060442106,0.027577168132824473,0.46663608689392855,0.008716593105391033,0.11751861113696227,0.34040088265157525,0.4666360868939287,-4.625929269271486e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,E2F_Targets,patient_balanced_mean,6,1078,0.7275836584025996,0.6953292550655036,0.5670808854079826,0.5211658740727177,0.7108855926880003,0.032254403337096005,0.015423374469675769,0.3270261348669761,0.008098399635473392,0.03918153709114837,0.2797461981403544,0.3270261348669761,-3.700743415417188e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,ECM_Organization,patient_balanced_mean,6,1078,0.8588622221281366,0.8438368416311314,0.40673811455363434,0.7368028007751898,0.806705886137448,0.015025380497005247,0.005167065167171951,0.17618589595946574,0.003286306621184197,0.017090484126075882,0.155809105212206,0.17618589595946607,-3.561965537339044e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,Fibrosis,patient_balanced_mean,6,1078,0.8375638986367622,0.818992681998148,0.4646827161238271,0.7024304094649958,0.8014143603303276,0.018571216638614163,0.0038604682851057412,0.230311805942406,0.0016875276651257274,0.02569091104894694,0.20293336722833347,0.23031180594240608,-1.0177044392397268e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,G2M_Checkpoint,patient_balanced_mean,6,1078,0.7000631611846564,0.665785767929186,0.5883371391239535,0.486043808963816,0.64737615374034,0.03427739325547038,0.016298823394726426,0.3569726821242624,0.005555697109165499,0.043348477691872854,0.30806850732322383,0.3569726821242622,1.6653345369377348e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,Glycolysis,patient_balanced_mean,6,1078,0.725831272119318,0.6976755457519794,0.5292844111040774,0.4971760447083519,0.6895218118936061,0.028155726367338447,0.03856470072780924,0.2816523318760049,0.001984197386397811,0.037703583842808336,0.2419645506467987,0.2816523318760049,4.163336342344337e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,IL6_JAK_STAT3,patient_balanced_mean,6,1078,0.6760153160106017,0.6375713772572814,0.5137835949751505,0.3886821074931312,0.6073612209977665,0.03844393875332031,0.08728450776031389,0.266229479690667,0.008032456867198048,0.03449473623281069,0.22370228659065827,0.266229479690667,1.850371707708594e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,Inflammatory_Response,patient_balanced_mean,6,1078,0.6436890167174066,0.6108127333635799,0.6253587789932831,0.4232159544682313,0.5969827962316693,0.03287628335382685,0.03809997250335457,0.40121045342491685,0.007538262228574737,0.06393240980840176,0.32973978138794047,0.40121045342491696,-1.2027416100105862e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,Interferon_Alpha,patient_balanced_mean,6,1078,0.569508568502572,0.5402254785861034,0.5539491163274958,0.2731357979420183,0.49523243075607254,0.029283089916468594,0.07350108188156597,0.3109582484323657,0.004646729643602184,0.03516626386687032,0.2711452549218933,0.31095824843236575,-1.1102230246251565e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,MYC_Targets,patient_balanced_mean,6,1078,0.8149540284748005,0.8010289170750085,0.42528007822452457,0.616817238035316,0.7608969817979707,0.013925111399792134,0.05486172849644724,0.1846310709473257,0.003455448528280204,0.014215290000261583,0.1669603324187839,0.1846310709473257,1.61907524424502e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,Mitotic_Spindle,patient_balanced_mean,6,1078,0.6727756232924036,0.6337834096663623,0.6105177327952344,0.45627329700173874,0.6421618379887417,0.03899221362604139,0.01252864331960323,0.3813623250099099,0.003998459300619767,0.05683505329043317,0.32052881241885717,0.3813623250099101,-1.989149585786739e-16
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,Oxidative_Phosphorylation,patient_balanced_mean,6,1078,0.825375562248594,0.8114553747733447,0.4247919817402946,0.6741888309670481,0.7769481873549258,0.013920187475249332,0.008416610913869083,0.18290582553028864,0.0009199250549346412,0.016406771416487054,0.16557912905886693,0.18290582553028864,-3.0068540250264654e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,P53_Pathway,patient_balanced_mean,6,1078,0.589473204461807,0.5414655679999446,0.6216105031345146,0.3124161960640423,0.5348455951682666,0.0480076364618623,0.04175441048258286,0.39198297519643094,0.008876171173822224,0.06267089455292364,0.32043590946968503,0.39198297519643094,4.625929269271486e-17
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,FBR,internal_val,Reactive_Oxygen_Species,patient_balanced_mean,6,1078,0.46610036096071567,0.3979380076647532,0.737469892910978,0.2056015376178052,0.43501503446535433,0.06816235329596249,0.024409041401649286,0.5511263170206583,0.005217457404684156,0.140406407638159,0.4055024519778152,0.5511263170206584,-5.551115123125783e-17
