pathway,pcc,mae_raw,r2_raw
Oxidative_Phosphorylation,0.78939784,681.232666015625,0.6223622560501099
MYC_Targets,0.7513802,935.6228637695312,0.44159525632858276
ECM_Organization,0.70045555,1154.66796875,0.4776924252510071
Fibrosis,0.6894132,1120.178466796875,0.4721760153770447
tls,0.6889095,1172.4776611328125,0.42107516527175903
G2M_Checkpoint,0.66422653,1737.8770751953125,-0.028621196746826172
E2F_Targets,0.6480762,1062.2093505859375,0.20604360103607178
mTOR_Signaling,0.6418338,732.8466796875,0.3852217197418213
Mitotic_Spindle,0.6339176,1314.4241943359375,0.14627724885940552
Angiogenesis,0.6201771,1352.7996826171875,0.19438886642456055
emt,0.59637207,825.4816284179688,0.2404041886329651
Glycolysis,0.59007776,1008.8264770507812,-0.35196101665496826
Wound_Healing,0.5849237,838.3297119140625,0.28951364755630493
IL6_JAK_STAT3,0.56959903,1140.3060302734375,-0.19296133518218994
Unfolded_Protein_Response,0.55678535,1046.399169921875,0.07857352495193481
P53_Pathway,0.53512824,1261.548095703125,-0.38236546516418457
DNA_Damage_Response,0.515721,981.3323364257812,0.005944013595581055
mhc,0.4720449,336.23651123046875,0.21780425310134888
Apoptosis,0.46422988,736.8824462890625,0.14722788333892822
tgfb,0.4335462,819.4578857421875,0.12447303533554077
toxic,0.38433397,1613.3336181640625,0.1367083191871643
Coagulation,0.38188168,602.1473999023438,-0.0037692785263061523
hypoxia,0.36421654,1111.9345703125,0.07015222311019897
Inflammatory_Response,0.35058746,1427.165771484375,0.07311022281646729
Complement,0.31324744,2206.11376953125,-2.0465517044067383
icp,0.3040621,1764.4747314453125,-0.34557461738586426
Reactive_Oxygen_Species,0.2842393,880.4068603515625,-0.5781067609786987
TNF_Signaling,0.23240997,1355.19921875,-0.2944685220718384
Interferon_Alpha,0.21081592,2136.57568359375,-3.519409656524658
ifng,0.18092495,1912.667236328125,-0.47855353355407715
