label,mean,std,count
tls,-2331.71099472936,1581.2662479284872,9472
tgfb,3915.861445467902,1693.7112937876523,9472
emt,2161.161268906713,2148.562468101941,9472
hypoxia,2760.817248006462,2512.774790124302,9472
mhc,7961.578236868838,2208.9433916447856,9472
icp,-3630.745072380955,1516.866527065746,9472
ifng,-768.8928054239683,2903.1191243727517,9472
toxic,-2015.0493150220482,1918.0223205077596,9472
Glycolysis,2719.873400944831,1737.8824900967306,9472
Inflammatory_Response,-98.42123347591743,1911.4588326570486,9472
IL6_JAK_STAT3,2636.69249967957,1967.2134711790106,9472
P53_Pathway,979.5528579965032,1676.9433678828852,9472
DNA_Damage_Response,1234.2759642986316,1470.5033699178962,9472
Complement,-1800.5111392849126,1747.6634066576585,9472
Coagulation,-637.6039728545255,994.2199324700123,9472
Oxidative_Phosphorylation,2815.2501069817918,2432.154101760611,9472
Reactive_Oxygen_Species,2790.5298911875784,1133.534948588832,9472
Wound_Healing,2149.717287808604,2000.7276556087952,9472
Fibrosis,2293.130700148563,2775.553844408621,9472
MYC_Targets,2037.3824363363694,3163.7129289704753,9472
E2F_Targets,1500.8010108877088,2025.4490924161432,9472
G2M_Checkpoint,503.99334918581775,2152.522407832063,9472
Mitotic_Spindle,447.05930244823446,1845.422357780025,9472
Unfolded_Protein_Response,2521.7296822390226,1922.660699548894,9472
mTOR_Signaling,2044.6722793203753,1801.865201821177,9472
Interferon_Alpha,3643.0987602916084,1860.9178706165696,9472
Angiogenesis,1203.4315389114338,1767.0874416133242,9472
Apoptosis,1172.7100519113592,1562.2678111962966,9472
TNF_Signaling,123.95002913186181,2188.658302267526,9472
ECM_Organization,3066.686497730347,3169.297967164726,9472
