epoch,train_loss,train_pcc,train_r2,train_mae,val_loss,val_pcc,val_r2,val_mae,lr
1,0.3046671555730452,0.5047706529821467,0.24926605820655823,0.6235355734825134,0.3380360717602818,0.3784921460499914,0.11624324321746826,0.657317578792572,0.0001
2,0.2733120754983369,0.5795831767138928,0.3327997326850891,0.5783260464668274,0.3391017155851572,0.39698829223696425,0.10913556069135666,0.6565065383911133,0.0001
3,0.2592735178732234,0.610615183705034,0.3703080713748932,0.5579212307929993,0.33208288126072644,0.41692394346289685,0.13331791758537292,0.646074116230011,0.0001
4,0.24752985354425325,0.6353338855894639,0.4015572667121887,0.5412675142288208,0.3363547296959577,0.40868730479030535,0.11104200780391693,0.6465650796890259,0.0001
5,0.23686973158854724,0.6571243914674796,0.4299710690975189,0.5266587734222412,0.33310312982332907,0.41095910029361465,0.12837055325508118,0.6443682312965393,0.0001
6,0.22674170786915412,0.6770188410816845,0.45675596594810486,0.5126561522483826,0.33936767998500506,0.3994797167372627,0.10608300566673279,0.650951623916626,0.0001
7,0.21723682458459279,0.6950919908479513,0.48175352811813354,0.4996674358844757,0.3375699313290824,0.3984850342858379,0.11562340706586838,0.6519750952720642,0.0001
8,0.20836211206019797,0.7116284684259346,0.5051511526107788,0.4873776435852051,0.34627653353070587,0.3821124276632841,0.08741046488285065,0.6643842458724976,0.0001
9,0.19967191120008174,0.7273249952485333,0.5278895497322083,0.475549578666687,0.3495847413937251,0.38400133276232035,0.08034617453813553,0.6685293316841125,0.0001
10,0.18286825225250308,0.7559357960619524,0.5703157782554626,0.45085954666137695,0.346181308673151,0.38591083372180035,0.08909640461206436,0.6633309125900269,5e-05
11,0.1754776181910498,0.7682322484814855,0.5890712738037109,0.4401315450668335,0.3512287294685055,0.3770394109511827,0.07581721991300583,0.669858992099762,5e-05
12,0.1699271313998996,0.7775764267132405,0.6035940647125244,0.4326060712337494,0.35115579771905747,0.3792774454362782,0.0773974359035492,0.669472336769104,5e-05
13,0.16533855261365704,0.7852412434418532,0.6156207919120789,0.42635440826416016,0.35464149967200786,0.3728285955043629,0.06419851630926132,0.6736404895782471,5e-05
14,0.1611574376478202,0.7920504332719359,0.6264280080795288,0.42076393961906433,0.3541627089238661,0.36879163881204874,0.06710802763700485,0.6735451817512512,5e-05
15,0.15681541540880373,0.7988933097547763,0.6373853087425232,0.41454681754112244,0.3594396226094043,0.3702101665452936,0.0530426986515522,0.6810848116874695,5e-05
16,0.14749855105797016,0.813296998849788,0.6605499982833862,0.4003266394138336,0.3595132683910668,0.3666457399266707,0.05167099088430405,0.6801292300224304,2.5e-05
17,0.14390627088360225,0.8187376961133487,0.6694006323814392,0.39479124546051025,0.3599145343186941,0.36687554627927205,0.04972679540514946,0.6801707148551941,2.5e-05
18,0.1407930832825789,0.8236461075712903,0.6775233745574951,0.3903557360172272,0.36208065771225934,0.36204178245270985,0.04406910017132759,0.683646559715271,2.5e-05
19,0.13835820499338022,0.8273109107631361,0.6835783123970032,0.3868177533149719,0.3620947750948243,0.359995953048763,0.04389931261539459,0.6835131049156189,2.5e-05
20,0.13633702682313853,0.8304929163079082,0.6888840794563293,0.3838726878166199,0.36287951424521464,0.3584006478551015,0.042036253958940506,0.6845377087593079,2.5e-05
21,0.13368207716317093,0.8345463307632611,0.6956939101219177,0.380520224571228,0.3629736499148798,0.35945515830127384,0.03892238438129425,0.6837785243988037,2.5e-05
22,0.12913595003694534,0.8411963159672557,0.7068077921867371,0.37312763929367065,0.36628533771258065,0.35808084556812847,0.030927253887057304,0.688370406627655,1.25e-05
23,0.1270885666240567,0.8442397761935739,0.7119192481040955,0.3701956570148468,0.36651870482609994,0.35580514178569755,0.03132450953125954,0.6892842054367065,1.25e-05
