epoch,train_loss,train_mae,train_r2,train_pcc,val_loss,val_mae,val_r2,val_pcc,lr
1,0.42308658361434937,0.8054985404014587,-0.03339337930083275,-0.0020766284136535013,0.3885328769683838,0.7568138241767883,-0.005672599654644728,0.02297620504248455,0.0001
2,0.4164979159832001,0.7958468198776245,-0.02496255189180374,0.004609705892113719,0.38520246744155884,0.7471014261245728,-0.0064558666199445724,0.03837821329154791,0.0001
3,0.41234615445137024,0.7887914180755615,-0.02160562202334404,0.012575361653815915,0.3842059075832367,0.7425382137298584,-0.01053281407803297,0.04423077596296209,0.0001
4,0.4098404049873352,0.7838319540023804,-0.02082481049001217,0.020021305004496222,0.3837650418281555,0.7394084334373474,-0.014043706469237804,0.04877220975249917,0.0001
5,0.40825992822647095,0.7802802324295044,-0.021165573969483376,0.02665067632915785,0.38316112756729126,0.7368291020393372,-0.015317440032958984,0.05530246975395376,0.0001
6,0.40673428773880005,0.7770360112190247,-0.020836515352129936,0.03353702151283134,0.3822222650051117,0.7344726324081421,-0.014175108633935452,0.06442423630851489,0.0001
7,0.4057796895503998,0.7749384641647339,-0.01993056945502758,0.039551555184463884,0.38096892833709717,0.7322022318840027,-0.011077393777668476,0.07641729654212996,0.0001
8,0.40380755066871643,0.7720445394515991,-0.015705840662121773,0.05453814508452924,0.37949731945991516,0.729897677898407,-0.006663596723228693,0.09131426802817676,0.0001
9,0.4024544358253479,0.7699863314628601,-0.01263450738042593,0.06406209219838443,0.3779030442237854,0.727606475353241,-0.0014023403637111187,0.10858236424852047,0.0001
10,0.4009508788585663,0.767905592918396,-0.008222367614507675,0.07727992330808776,0.37626734375953674,0.7252086400985718,0.004253121092915535,0.12705439571113322,0.0001
11,0.39918866753578186,0.7655044198036194,-0.0030685386154800653,0.09343246556475912,0.3746744394302368,0.7226707935333252,0.009953051805496216,0.14472747732608252,0.0001
12,0.39696529507637024,0.7625032663345337,0.0030814348720014095,0.11265771925735249,0.37319108843803406,0.7201084494590759,0.015435797162353992,0.160118514620152,0.0001
13,0.3950718641281128,0.7598702311515808,0.008462788537144661,0.12939513303750838,0.3719017207622528,0.717637300491333,0.020331157371401787,0.17253824427636685,0.0001
14,0.3928132951259613,0.7565297484397888,0.015218883752822876,0.14977808920941885,0.37089577317237854,0.7153835296630859,0.024310385808348656,0.1820952790848448,0.0001
15,0.3904981315135956,0.7529003024101257,0.021485574543476105,0.16827863245301433,0.37025731801986694,0.713470458984375,0.027132077142596245,0.18933267279152674,0.0001
16,0.38804951310157776,0.7489904761314392,0.028116384521126747,0.18663686632127127,0.37001270055770874,0.7118967175483704,0.028666824102401733,0.19503555987512322,0.0001
17,0.3855879306793213,0.7448557615280151,0.03486239165067673,0.20377155010666284,0.3700453042984009,0.7105585932731628,0.029128050431609154,0.20026154440657784,0.0001
18,0.38364458084106445,0.7414817214012146,0.03972061350941658,0.21540815335762176,0.3703407347202301,0.7095889449119568,0.028806835412979126,0.20509719602020407,0.0001
19,0.3813953101634979,0.7374389171600342,0.04538659006357193,0.2287733734805471,0.3708929419517517,0.709175169467926,0.028055770322680473,0.20935274824511263,0.0001
20,0.3791060745716095,0.7335842251777649,0.05096789449453354,0.24065111462723346,0.371725469827652,0.7095449566841125,0.02706214413046837,0.21269649226732174,0.0001
21,0.3774707317352295,0.7308014631271362,0.05559887737035751,0.24947514914188426,0.3726328909397125,0.7102585434913635,0.026112576946616173,0.21559544475599995,0.0001
22,0.37576213479042053,0.7276755571365356,0.0597546324133873,0.25696208461128456,0.3732585906982422,0.7103978395462036,0.02545577846467495,0.21885828039396374,0.0001
23,0.37385934591293335,0.7244752049446106,0.065032958984375,0.26676586090072424,0.37334010004997253,0.7100512385368347,0.025467364117503166,0.22079425280600665,5e-05
24,0.3730320632457733,0.7229786515235901,0.06750016659498215,0.2714778140870808,0.37328040599823,0.7095133662223816,0.025759045034646988,0.22275750525245147,5e-05
25,0.372211754322052,0.7217594385147095,0.06913291662931442,0.2743406466946708,0.3730347156524658,0.708656370639801,0.026321176439523697,0.22489972262740057,5e-05
26,0.3713061213493347,0.7202504277229309,0.07164431363344193,0.27901951568728195,0.37270262837409973,0.7077518105506897,0.027105409651994705,0.2269868557298757,5e-05
27,0.37041419744491577,0.7189826965332031,0.073782779276371,0.28267973793176376,0.3723160922527313,0.7068431973457336,0.028017917647957802,0.22900700720675554,5e-05
28,0.3693501055240631,0.7171545028686523,0.07628388702869415,0.2870524370536313,0.37192222476005554,0.7060678005218506,0.029030414298176765,0.23090261189135303,5e-05
29,0.3681899905204773,0.7156640887260437,0.07942971587181091,0.29215698569182796,0.37170183658599854,0.7056605815887451,0.029558278620243073,0.23183588109900105,2.5e-05
30,0.3676076829433441,0.7148749828338623,0.08088702708482742,0.294788266303596,0.3714868128299713,0.7053068280220032,0.030131403356790543,0.2327465987740123,2.5e-05
31,0.36666396260261536,0.7135018110275269,0.08324549347162247,0.2985422699986526,0.3712886869907379,0.7050459980964661,0.030765371397137642,0.23365333229923327,2.5e-05
