epoch,train_loss,train_pcc,train_r2,train_mae,val_loss,val_pcc,val_r2,val_mae,lr
1,0.312038712312706,0.4847180303853931,0.22895373404026031,0.6340877413749695,0.3516185004158882,0.3460589415678565,0.07793892174959183,0.6738741993904114,0.0001
2,0.2820248093215055,0.5596332933506449,0.3097943365573883,0.5912042856216431,0.33368047145519775,0.39137651424323616,0.11569675803184509,0.6446871161460876,0.0001
3,0.26779240602909504,0.5922400905105447,0.3480321764945984,0.5708361268043518,0.3340837057364189,0.39799936895841226,0.12635762989521027,0.650556743144989,0.0001
4,0.2565256541872846,0.6173248938682873,0.3787592351436615,0.5553102493286133,0.3431455622509599,0.37675409713772967,0.10210364311933517,0.6613745093345642,0.0001
5,0.24642248463066896,0.6381137164932034,0.4051533043384552,0.5413225293159485,0.3412254662837012,0.38436810799476206,0.10679493099451065,0.6595070958137512,0.0001
6,0.23709614568405543,0.6572427465254084,0.4301595985889435,0.5286608934402466,0.34351611775249635,0.36821941107137324,0.08867523819208145,0.6579887270927429,0.0001
7,0.22834684251942983,0.6747726431489782,0.4536644220352173,0.5170468688011169,0.34935723405661107,0.36304306995296637,0.08580262213945389,0.6721665859222412,0.0001
8,0.22042330795876344,0.6899096011136822,0.4745054543018341,0.5064523816108704,0.3507916799204498,0.35747635278289824,0.07750241458415985,0.6707350611686707,0.0001
9,0.20197491993108763,0.7230105477575669,0.5212042331695557,0.47955161333084106,0.35399737423198147,0.35924236163067835,0.071233831346035,0.6763555407524109,5e-05
10,0.1955569836943633,0.7346531630577028,0.5382101535797119,0.4706437885761261,0.3495507662354665,0.35581792733411377,0.08060447126626968,0.6696798801422119,5e-05
11,0.19066316316076679,0.7433735001407191,0.551194965839386,0.46410229802131653,0.3590501371413301,0.3430098272732675,0.05336105450987816,0.6814897060394287,5e-05
12,0.18620097421099485,0.7511339721056793,0.5628154873847961,0.45785456895828247,0.3632939447510265,0.33857254713658425,0.04397955164313316,0.6877490878105164,5e-05
13,0.1817628600814274,0.7587894993356499,0.574491560459137,0.45176827907562256,0.36501113625345033,0.34683955867341687,0.03880168870091438,0.6895758509635925,5e-05
14,0.17756945447626546,0.765818950575654,0.5852702856063843,0.44624754786491394,0.3588439188490704,0.34638216838771313,0.05342948064208031,0.6810862421989441,5e-05
15,0.1682345845393968,0.7807683151340892,0.6083185076713562,0.4319617450237274,0.36615135793183035,0.3411002011714726,0.033597417175769806,0.6904934644699097,2.5e-05
16,0.16454142474284056,0.7869234113940454,0.6179691553115845,0.42678362131118774,0.36621273758833467,0.3399380620184349,0.03256894275546074,0.6905824542045593,2.5e-05
17,0.16209123121955155,0.7908398722278934,0.6241623163223267,0.42315930128097534,0.3675945671040235,0.3351689575390104,0.03206907585263252,0.6944197416305542,2.5e-05
18,0.15986055816864628,0.7945932624975404,0.6301784515380859,0.4200853705406189,0.36921952657555906,0.3385382556354559,0.028412185609340668,0.6959887146949768,2.5e-05
19,0.15744067944790607,0.7984608295255884,0.6363926529884338,0.41698387265205383,0.3667172984776075,0.33701414936869284,0.03152593970298767,0.6914258599281311,2.5e-05
20,0.1554399039473769,0.8016186246418073,0.6414610147476196,0.41394031047821045,0.3717281376237923,0.32617784985305764,0.019953684881329536,0.6994112133979797,2.5e-05
21,0.15019820774116388,0.8097715646463619,0.6544997096061707,0.4061577022075653,0.3690243806879399,0.33162962308145433,0.024991009384393692,0.6944267749786377,1.25e-05
22,0.1484859888910525,0.812461749736022,0.6589056849479675,0.4037056267261505,0.37160582457109587,0.3310589282899715,0.017738085240125656,0.6976737380027771,1.25e-05
