epoch,train_loss,train_mae,train_mape,train_r2,train_pcc,val_loss,val_mae,val_mape,val_r2,val_pcc,lr
1,0.8369011451036502,0.6373666336139043,308.2115656534831,0.16619274417559307,0.3716373268425603,0.6989960074424744,0.5656139145294825,290.9585823059082,0.24435346325238547,0.46305853482665327,0.001
2,0.7647426021404755,0.593970537185669,327.5950215657552,0.23732416232426962,0.44860518934075116,0.6784823313355446,0.5593146443367004,330.1067436218262,0.2570184230804443,0.47883993162446686,0.001
3,0.7459524548970736,0.5844405978918076,316.1712448120117,0.2557599127292633,0.46922525846174923,0.667920783162117,0.5544105609258015,293.6895294189453,0.26321683526039125,0.48723420394091976,0.001
4,0.7339133880077264,0.5791526148716609,330.3029731750488,0.2665424644947052,0.4804835101882585,0.6641498431563377,0.5538069287935893,265.51645177205404,0.274045334259669,0.4957356967784401,0.001
5,0.7188254655935825,0.5699283659458161,322.69165496826173,0.2827763179937998,0.4959093215918559,0.6583940759301186,0.5441755225261052,287.1703721364339,0.2826030313968658,0.5022466455129561,0.001
6,0.7096793208366785,0.5646492123603821,319.84227549235027,0.2930176854133606,0.506911344881248,0.6455420330166817,0.5426795105139415,287.5729610443115,0.290682460864385,0.513437297328135,0.001
7,0.7002896620677068,0.5610461592674255,314.37668787638347,0.30215627153714497,0.5162511812104429,0.646107092499733,0.5382047633330027,320.69893010457355,0.2907473683357239,0.5130204131264945,0.001
8,0.695177727784866,0.5583825161059698,315.91391881306964,0.30883060495058695,0.5233458576437131,0.6405662000179291,0.5389437119166056,270.45518124898274,0.30036855340003965,0.5231189966122892,0.001
9,0.6881718849524473,0.5544472257296245,348.8234900156657,0.3152562975883484,0.5306832421403934,0.637898251414299,0.5306016027927398,283.47197405497235,0.3058444857597351,0.528633283340059,0.001
10,0.6766942204573215,0.5507310251394908,376.22792053222656,0.3233469267686208,0.5383022922633153,0.6385601386427879,0.5315175582965215,332.6462619781494,0.3058204472064972,0.5304352484811788,0.001
11,0.6684674269113785,0.5468546370665233,319.0424877166748,0.33160946766535443,0.5461365312972857,0.6261954307556152,0.53153555393219,312.80727907816566,0.3148607432842255,0.5358737813297972,0.001
12,0.6628680122204316,0.5440111547708512,329.2523644765218,0.3389293491840363,0.553581942713451,0.6287424564361572,0.527074487010638,360.3430793762207,0.3135434369246165,0.5366202710652012,0.001
13,0.6573632130256066,0.5421983271837234,349.7702824910482,0.3435597022374471,0.557989364635857,0.6179506927728653,0.5209586123625437,330.45629221598307,0.3211947043736776,0.5430942010079036,0.001
14,0.6525781689546047,0.5390580892562866,304.29367485046384,0.35014012853304544,0.5645917758299365,0.621579073369503,0.5228896786769232,332.9425120035807,0.3215943733851115,0.5456913053836561,0.001
15,0.647876901504321,0.5368717551231384,326.48418248494465,0.3549372971057892,0.568966518476565,0.6181566044688225,0.526873986919721,303.2941079457601,0.3197872519493103,0.5443440367679545,0.001
16,0.640602613106752,0.53366217315197,340.1747772216797,0.3619375228881836,0.5762100552395975,0.6215284839272499,0.5253089348475138,317.1175921122233,0.32430895964304607,0.5453991226148365,0.001
17,0.6323787967363993,0.5304140945275625,344.1805990854899,0.36858005126317345,0.5825175300633567,0.6162990182638168,0.524414935708046,349.71237564086914,0.32387453118960063,0.5471677142129504,0.001
18,0.62948883496798,0.527780591448148,344.30090675354006,0.37342321674029033,0.5870098116677304,0.6118530184030533,0.5241288175185521,301.11169281005857,0.3300138513247172,0.5535978995194248,0.001
19,0.6240276908263181,0.5269179016351699,329.6978816986084,0.3790968656539917,0.5922528190907516,0.603799432516098,0.5188378244638443,359.5158261617025,0.3302272856235504,0.5522950408069259,0.001
20,0.6147240354464605,0.5230575044949849,385.2061340332031,0.3862567106882731,0.5986638132288069,0.6030899733304977,0.5186871349811554,317.514365641276,0.33557681838671366,0.5572087568145465,0.001
21,0.6117369822966747,0.5213479836781819,319.0176928202311,0.39030033548672993,0.6022433724083907,0.600943423807621,0.5163342495759328,401.832861328125,0.3314617911974589,0.5548948980208109,0.001
22,0.6078607256595905,0.5200363308191299,341.95371271769204,0.39431888063748677,0.6062255505443171,0.6033753976225853,0.5177500198284785,345.14343338012696,0.3318537930647532,0.555573723961244,0.001
23,0.5990793704986572,0.5171782741943995,325.6794724782308,0.40154423713684084,0.6129827759540697,0.6042009145021439,0.5166652818520864,367.86302680969237,0.33220353921254475,0.5555305294733878,0.001
24,0.5974584909585806,0.5151042878627777,312.17944679260256,0.40460784832636515,0.6158616877620836,0.5973777249455452,0.5135034958521525,358.2602035522461,0.33743247588475545,0.5631448535472877,0.001
25,0.5935182112913865,0.5144374271233877,368.2870255788167,0.4089296519756317,0.619962106475456,0.5988868921995163,0.5151534597078959,358.0118480682373,0.33369425535202024,0.5605920718023033,0.001
26,0.5881476402282715,0.5122364173332851,313.1798762003581,0.41328515807787575,0.6235654096708803,0.5952423512935638,0.5118139455715816,357.29587135314944,0.33923802177111306,0.5636395510673037,0.001
27,0.5800500695522015,0.5089110692342123,323.2294647216797,0.42200549046198527,0.6312419106808016,0.5869264230132103,0.5105061193307241,358.6025867462158,0.34462490677833557,0.567622410322259,0.001
28,0.5751372835575006,0.5062213023503621,312.3621493021647,0.42620217204093935,0.6355681999319466,0.5880105569958687,0.5143629113833109,344.0025274912516,0.34181139469146726,0.5659510274741231,0.001
29,0.5719012419382731,0.5047084242105484,343.3817878723145,0.43045849204063413,0.6393640243557511,0.5896306186914444,0.5146794279416402,360.17270685831704,0.345820681254069,0.5706788354378319,0.001
30,0.5663098876292889,0.5031567265590032,317.0819320678711,0.43541897932688395,0.643659664221201,0.5880230814218521,0.5099849452575048,352.7506729125977,0.3443412443002065,0.5687559078390585,0.001
31,0.5630127497208424,0.502029033501943,322.69354985555015,0.43887461026509605,0.6468658440452373,0.5738785266876221,0.511004842321078,383.4458839416504,0.35013243357340496,0.5737885570399418,0.001
32,0.5583544809084672,0.5001374224821726,322.6155279795329,0.4436322768529256,0.6514890380202765,0.5766556337475777,0.5104391594727834,308.69714469909667,0.3516457716623942,0.5734375387175834,0.001
