pathway,pcc,r2,mae,mae_raw,r2_raw
Oxidative_Phosphorylation,0.7829152,0.59531856,0.2987868,726.6954956054688,0.5953185558319092
MYC_Targets,0.76679873,0.31389624,0.3472216,1098.5093994140625,0.3138962388038635
ECM_Organization,0.7145845,0.5010972,0.35695022,1131.2816162109375,0.5010972023010254
Fibrosis,0.6999367,0.44904655,0.4176304,1159.15576171875,0.4490465521812439
G2M_Checkpoint,0.6715159,-0.017958999,0.807884,1738.9881591796875,-0.017958998680114746
tls,0.6704622,0.39309037,0.77269506,1221.836669921875,0.3930903673171997
mTOR_Signaling,0.63638717,0.30926764,0.43956816,792.0426025390625,0.30926764011383057
Angiogenesis,0.6307937,0.27408957,0.7194217,1271.281005859375,0.2740895748138428
Mitotic_Spindle,0.6294636,0.1259985,0.72757715,1342.6871337890625,0.12599849700927734
E2F_Targets,0.6286992,0.11632037,0.5626468,1139.6124267578125,0.11632037162780762
Glycolysis,0.61874497,-0.61337817,0.6485189,1127.049560546875,-0.6133781671524048
Wound_Healing,0.61865926,0.27235436,0.42574248,851.7947387695312,0.2723543643951416
Unfolded_Protein_Response,0.58985364,0.060863256,0.5525948,1062.4522705078125,0.06086325645446777
emt,0.583491,0.25920606,0.382143,821.05810546875,0.25920605659484863
IL6_JAK_STAT3,0.5754129,-0.48695946,0.6689709,1316.0086669921875,-0.48695945739746094
P53_Pathway,0.5493419,-0.33165276,0.7339944,1230.866943359375,-0.33165276050567627
mhc,0.5056692,0.2534877,0.17244412,380.9192810058594,0.2534877061843872
DNA_Damage_Response,0.47828898,-0.09008956,0.7002269,1029.68603515625,-0.09008955955505371
Inflammatory_Response,0.43823078,0.15376347,0.70587647,1349.2537841796875,0.15376347303390503
Apoptosis,0.4323472,0.08336699,0.49687088,776.2454223632812,0.0833669900894165
tgfb,0.41860473,0.066694856,0.50563145,856.3937377929688,0.06669485569000244
Coagulation,0.40932673,0.06872189,0.57990366,576.5517578125,0.06872189044952393
hypoxia,0.37435392,0.014629066,0.4650698,1168.61572265625,0.014629065990447998
Complement,0.36126548,-2.1914854,1.2964894,2265.826904296875,-2.1914854049682617
toxic,0.34236318,0.096678615,0.86385596,1656.8951416015625,0.09667861461639404
Reactive_Oxygen_Species,0.3213799,-0.6000291,0.7812079,885.5265502929688,-0.6000291109085083
TNF_Signaling,0.30692068,-0.35409796,0.6454432,1412.6544189453125,-0.35409796237945557
icp,0.29840332,-0.39153445,1.1783322,1787.3724365234375,-0.3915344476699829
Interferon_Alpha,0.20952022,-3.2681823,1.1095097,2064.70654296875,-3.2681822776794434
ifng,0.08077062,-0.7240863,0.7081965,2055.978759765625,-0.7240862846374512
