pathway,slope_k,intercept_z_b,intercept_raw_b,baseline_raw_r2,calibrated_raw_r2,delta_raw_r2,baseline_pcc,calibrated_pcc,delta_pcc,baseline_raw_mae,calibrated_raw_mae,delta_raw_mae,baseline_ccc,calibrated_ccc
tls,0.9990191690016899,0.003911842991922599,6.185665290322796,0.38636895043839303,0.3866841223163048,0.0003151718779117463,0.6639869497301302,0.6639869497301296,-5.551115123125783e-16,1178.2267359477232,1179.873053488601,1.646317540877817,0.4889651642829509,0.48884833119624976
tgfb,1.0025543121713425,0.0026975261025595095,4.56883042519203,0.08320535300564746,0.08795640280300299,0.004751049797355522,0.43903472678560207,0.43903472678560207,0.0,847.5146751116737,844.2986700646222,-3.2160050470514534,0.3113303770685345,0.3129937365458748
emt,0.9973804456021951,-0.0010969520297038672,-2.3568699603299743,0.17257837188166636,0.1773354667698711,0.004757094888204749,0.5918671407677207,0.5918671407677208,1.1102230246251565e-16,869.8545799863355,867.0315774961425,-2.8230024901929482,0.5298464392492157,0.5306292902127404
hypoxia,0.9984866585320007,-0.006029121460344332,-15.149824412150654,0.039634188679637194,0.04002004418099636,0.0003858555013591669,0.3555700616231422,0.35557006162314214,-5.551115123125783e-17,1143.814110590295,1143.2475685611207,-0.566542029174343,0.3249826254999001,0.32473859720204606
mhc,0.9978934522788101,-0.0021394828127243404,-4.72599642070503,0.2183545347561041,0.2209816775433514,0.002627142787247294,0.5032254594953265,0.5032254594953262,-3.3306690738754696e-16,425.56124414744147,422.79905330698347,-2.762190840458004,0.42966248476218094,0.429970771744124
icp,0.9945780086769422,-0.0030530679298195404,-4.631096547601173,-0.307725356548999,-0.30833260337536683,-0.0006072468263678132,0.3058410761141342,0.30584107611413425,5.551115123125783e-17,1726.5154009248738,1726.9183283743805,0.40292744950670567,0.16549434389573156,0.16468098990910685
ifng,0.9948592635618697,0.0002501407394919845,0.7261883646039227,-0.3741041801445575,-0.37267485281081103,0.0014293273337464552,0.15060565879049492,0.15060565879049495,2.7755575615628914e-17,1845.3599149908255,1844.3914398410482,-0.968475149777305,0.1025136583129922,0.10213583717758949
toxic,1.0024980385611424,-1.918156502643573e-06,-0.0036790669862974746,0.11746255396386518,0.11679527547279245,-0.0006672784910727314,0.3802570834244679,0.3802570834244678,-1.1102230246251565e-16,1594.8491520268567,1594.789417371767,-0.05973465508964182,0.2877314700601653,0.28808802013937695
Glycolysis,0.9996695215326614,-0.0003819115483378807,-0.663717392622134,-0.40584123842597597,-0.40759235907697033,-0.0017511206509943644,0.6073809749322644,0.6073809749322644,0.0,1029.8651051785666,1030.6727561757511,0.8076509971845098,0.3712021811860701,0.3708345489877123
Inflammatory_Response,1.0002587246447079,0.0021982617294463215,4.20188679924213,0.19196587971703183,0.19194490285722166,-2.0976859810173387e-05,0.44890641590390523,0.448906415903905,-2.220446049250313e-16,1348.6907257231373,1349.126135140858,0.4354094177206207,0.37785113222986555,0.37790584414421646
