pathway,prediction_decile,n_patches,mean_true,mean_prediction,mean_residual_pred_minus_true,mae
Coagulation,3,104,-950.2206678499618,-1046.1001289200487,-95.87946107008709,460.4863163062321
Coagulation,4,104,-985.8760252437435,-897.108974371668,88.76705087207571,508.485426611468
Coagulation,5,104,-687.0710444738016,-761.9056699666992,-74.83462549289743,448.2172500951106
Coagulation,6,103,-707.7128730432804,-651.1687787200875,56.5440943231929,513.5641381017886
Coagulation,7,104,-703.3791654779761,-498.0044282668356,205.3747372111406,614.6497173445671
Coagulation,8,104,-512.7758482074788,-322.38042813912483,190.395420068354,615.4820600704162
Coagulation,9,104,-82.25214400496462,-139.32955682659835,-57.07741282163374,587.2106043806608
Coagulation,10,104,3.005872385387162,185.26960420391504,182.26373181852782,584.1721086357003
Oxidative_Phosphorylation,1,104,1498.4682697434428,2166.1474888505486,667.6792191071054,1510.42345005239
Oxidative_Phosphorylation,2,104,4333.488336052278,3743.765146949421,-589.7231891028576,1260.396045196606
Oxidative_Phosphorylation,3,104,5051.498439983822,4477.461714972028,-574.0367250117936,930.5777176736028
Oxidative_Phosphorylation,4,104,5213.733166540792,4858.708342070231,-355.0248244705602,661.9273710092643
Oxidative_Phosphorylation,5,104,5466.165482988153,5124.505085829003,-341.6603971591499,524.3733805151896
Oxidative_Phosphorylation,6,103,5676.169116859878,5331.328634184603,-344.84048267527476,472.09867273819157
Oxidative_Phosphorylation,7,104,5599.787986556465,5499.071822413442,-100.71616414302326,416.98344795509536
Oxidative_Phosphorylation,8,104,5614.321823895755,5716.9246538966445,102.60283000088947,423.78980116501197
Oxidative_Phosphorylation,9,104,5744.05426121995,5944.321335102151,200.26707388220262,347.1581138679619
Oxidative_Phosphorylation,10,104,5902.173370115938,6310.656921045268,408.4835509293305,475.4283214327403
Reactive_Oxygen_Species,1,104,3543.3454331486832,2857.5541831384025,-685.7912500102801,1079.9284717814944
Reactive_Oxygen_Species,2,104,4117.966397747995,3241.9500756699217,-876.0163220780736,1116.5672647451586
Reactive_Oxygen_Species,3,104,4256.526650576468,3384.6906685953563,-871.835981981111,1008.693974337038
Reactive_Oxygen_Species,4,104,4381.918965686506,3511.6949995729883,-870.223966113518,951.8770056969812
Reactive_Oxygen_Species,5,104,4313.902819662151,3606.197144431653,-707.7056752304986,941.2789056971968
Reactive_Oxygen_Species,6,103,4386.828726779725,3689.444440759383,-697.3842860203417,837.3014479453791
Reactive_Oxygen_Species,7,104,4411.23452974915,3783.8451253129806,-627.3894044361691,773.7116762566553
Reactive_Oxygen_Species,8,104,4318.834728569693,3882.383389053016,-436.4513395166766,682.9242779757719
Reactive_Oxygen_Species,9,104,4288.941568314873,4017.958325714811,-270.9832426000616,566.5098060234242
Reactive_Oxygen_Species,10,104,4463.46353228541,4274.745039204809,-188.71849308060263,596.2876870785994
Wound_Healing,1,104,2654.1632723171956,2027.1779762478675,-626.9852960693286,927.2215223890187
Wound_Healing,2,104,3288.471707736325,2647.1840728870684,-641.2876348492565,944.2224259171851
Wound_Healing,3,104,3420.647395731665,3096.9681434868307,-323.67925224483406,981.1397144514674
