epoch,train_loss,train_pcc,is_best,val_loss,val_pcc,val_mae,val_r2
1,0.535628,0.681761,False,0.484644,0.725196,0.508224,0.526728
2,0.459001,0.735537,False,0.466352,0.737429,0.498482,0.544512
3,0.442047,0.746967,False,0.456891,0.744059,0.490034,0.55376
4,0.430169,0.754872,False,0.450496,0.747939,0.485347,0.56003
5,0.42146,0.760618,False,0.447817,0.749724,0.486544,0.562621
6,0.414557,0.765143,False,0.443191,0.752575,0.481139,0.567172
7,0.407904,0.769479,False,0.440866,0.754169,0.480474,0.569412
8,0.402021,0.773298,False,0.44166,0.753685,0.482251,0.568687
9,0.396805,0.776663,False,0.440336,0.755285,0.481113,0.569947
10,0.391918,0.779803,False,0.43871,0.755533,0.479487,0.571547
11,0.38689,0.783026,False,0.438071,0.756782,0.482,0.572089
12,0.381943,0.786182,False,0.435677,0.757456,0.476552,0.57447
13,0.376916,0.789378,False,0.435747,0.757558,0.47808,0.574372
14,0.372787,0.791989,False,0.43615,0.758032,0.48053,0.573959
15,0.368785,0.794517,False,0.434344,0.758728,0.476267,0.575775
16,0.364527,0.797196,True,0.432331,0.759747,0.475774,0.577763
17,0.359937,0.800072,False,0.436295,0.758117,0.480622,0.573877
18,0.356003,0.802531,False,0.434186,0.759022,0.474162,0.575941
19,0.351755,0.805172,False,0.435082,0.758128,0.477048,0.575049
20,0.347366,0.807904,False,0.436614,0.757325,0.479294,0.573575
21,0.34393,0.810024,False,0.435572,0.757712,0.475143,0.574606
22,0.340053,0.812421,False,0.437668,0.757197,0.477995,0.572563
23,0.335999,0.81491,False,0.438404,0.756228,0.479404,0.571778
24,0.3324,0.817122,False,0.436955,0.756983,0.478219,0.573192
25,0.328077,0.819767,False,0.43965,0.755021,0.477561,0.570649
26,0.324912,0.821702,False,0.44038,0.75486,0.479465,0.569879
